onset	duration	trial_type
0	15	discard
15	30.75	static
45	120	motion
45.75	3.75	coherent
49.5	1.5	incoherent
51	2.25	coherent
53.25	1.5	incoherent
54.75	3	coherent
57.75	30.75	incoherent
88.5	3	coherent
91.5	31.5	incoherent
123	12	coherent
135	28.5	incoherent
163.5	1.5	coherent
165	15	mae
180	30	static
210	6.75	coherent
210	120	motion
216.75	11.25	incoherent
228	3	coherent
231	5.25	incoherent
236.25	0.75	coherent
237	15.75	incoherent
252.75	7.5	coherent
260.25	6	incoherent
266.25	17.25	coherent
283.5	9	incoherent
292.5	3.75	coherent
296.25	3.75	incoherent
300	30	coherent
330	15	mae
345	30	static
375	15	discard
