onset	duration	trial_type
0	15	discard
15	30.75	static
45	120	motion
45.75	3.75	coherent
49.5	2.25	incoherent
51.75	2.25	coherent
54	2.25	incoherent
56.25	20.25	coherent
76.5	6	incoherent
82.5	4.5	coherent
87	8.25	incoherent
95.25	9.75	coherent
105	6	incoherent
111	7.5	coherent
118.5	3	incoherent
121.5	2.25	coherent
123.75	5.25	incoherent
129	6.75	coherent
135.75	5.25	incoherent
141	11.25	coherent
152.25	7.5	incoherent
159.75	5.25	coherent
165	15	mae
180	30	static
210	7.5	coherent
210	120	motion
217.5	6.75	incoherent
224.25	15	coherent
239.25	8.25	incoherent
247.5	25.5	coherent
273	6.75	incoherent
279.75	3	coherent
282.75	6	incoherent
288.75	9.75	coherent
298.5	5.25	incoherent
303.75	6	coherent
309.75	7.5	incoherent
317.25	8.25	coherent
325.5	4.5	incoherent
330	15	mae
345	30	static
375	15	discard
