onset	duration	trial_type
0	15	discard
15	32	static
45	120	motion
47	7	coherent
54	4	incoherent
58	7	coherent
65	8	incoherent
73	11	coherent
84	12	incoherent
96	7	coherent
103	2	incoherent
105	10	coherent
115	1	incoherent
116	4	coherent
120	8	incoherent
128	10	coherent
138	5	incoherent
143	9	coherent
152	4	incoherent
156	9	coherent
165	15	mae
180	30	static
210	13	coherent
210	120	motion
223	7	incoherent
230	9	coherent
239	9	incoherent
248	17	coherent
265	6	incoherent
271	10	coherent
281	8	incoherent
289	11	coherent
300	2	incoherent
302	18	coherent
320	8	incoherent
328	2	coherent
330	15	mae
345	30	static
375	15	discard
