onset	duration	trial_type
0	15	discard
15	30.75	static
45	120	motion
45.75	1.5	coherent
47.25	2.25	incoherent
49.5	3.75	coherent
53.25	9	incoherent
62.25	3.75	coherent
66	3	incoherent
69	9.75	coherent
78.75	3	incoherent
81.75	1.5	coherent
83.25	2.25	incoherent
85.5	13.5	coherent
99	4.5	incoherent
103.5	9.75	coherent
113.25	2.25	incoherent
115.5	3	coherent
118.5	5.25	incoherent
123.75	35.25	coherent
159	3.75	incoherent
162.75	2.25	coherent
165	15	mae
180	30	static
210	7.5	coherent
210	120	motion
217.5	1.5	incoherent
219	2.25	coherent
221.25	2.25	incoherent
223.5	4.5	coherent
228	1.5	incoherent
229.5	24.75	coherent
254.25	4.5	incoherent
258.75	28.5	coherent
287.25	3.75	incoherent
291	39	coherent
330	15	mae
345	30	static
375	15	discard
