onset	duration	trial_type
0	15	discard
15	31	static
45	120	motion
46	4	coherent
50	4.5	incoherent
54.5	1.5	coherent
56	9.5	incoherent
65.5	3.5	coherent
69	4.5	incoherent
73.5	27	coherent
100.5	11	incoherent
111.5	5	coherent
116.5	6	incoherent
122.5	11	coherent
133.5	11.5	incoherent
145	4.5	coherent
149.5	2	incoherent
151.5	13.5	coherent
165	15	mae
180	30	static
210	5	coherent
210	120	motion
215	2.5	incoherent
217.5	2.5	coherent
220	2.5	incoherent
222.5	24	coherent
246.5	5.5	incoherent
252	1	coherent
253	1	incoherent
254	2	coherent
256	4.5	incoherent
260.5	8	coherent
268.5	1	incoherent
269.5	10	coherent
279.5	4.5	incoherent
284	0.5	coherent
284.5	4	incoherent
288.5	23	coherent
311.5	3	incoherent
314.5	2	coherent
316.5	3	incoherent
319.5	4.5	coherent
324	1.5	incoherent
325.5	2	coherent
327.5	2	incoherent
329.5	0.5	coherent
330	15	mae
345	30	static
375	15	discard
