onset	duration	trial_type
0	15	discard
15	31.5	static
45	120	motion
46.5	3.75	coherent
50.25	3	incoherent
53.25	12.75	coherent
66	10.5	incoherent
76.5	8.25	coherent
84.75	3	incoherent
87.75	18	coherent
105.75	4.5	incoherent
110.25	27	coherent
137.25	9	incoherent
146.25	3	coherent
149.25	6.75	incoherent
156	6	coherent
162	2.25	incoherent
164.25	0.75	coherent
165	15	mae
180	30	static
210	16.5	coherent
210	120	motion
226.5	3	incoherent
229.5	1.5	coherent
231	3.75	incoherent
234.75	4.5	coherent
239.25	3	incoherent
242.25	24.75	coherent
267	3.75	incoherent
270.75	16.5	coherent
287.25	3	incoherent
290.25	3.75	coherent
294	6.75	incoherent
300.75	6	coherent
306.75	2.25	incoherent
309	21	coherent
330	15	mae
345	30	static
375	15	discard
