onset	duration	trial_type
0	15	discard
15	30	static
45	12.5	coherent
45	120	motion
57.5	2.5	incoherent
60	10	coherent
70	5	incoherent
75	5	coherent
80	2.5	incoherent
82.5	5	coherent
87.5	5	incoherent
92.5	5	coherent
97.5	5	incoherent
102.5	2.5	coherent
105	5	incoherent
110	2.5	coherent
112.5	5	incoherent
117.5	5	coherent
122.5	5	incoherent
127.5	15	coherent
142.5	2.5	incoherent
145	15	coherent
160	5	incoherent
165	15	mae
180	30	static
210	17.5	coherent
210	120	motion
227.5	5	incoherent
232.5	17.5	coherent
250	7.5	incoherent
257.5	12.5	coherent
270	7.5	incoherent
277.5	12.5	coherent
290	5	incoherent
295	7.5	coherent
302.5	2.5	incoherent
305	22.5	coherent
327.5	2.5	incoherent
330	15	mae
345	30	static
375	15	discard
