onset	duration	trial_type
0	15	discard
15	30	static
45	12.5	coherent
45	120	motion
57.5	5	incoherent
62.5	2.5	coherent
65	2.5	incoherent
67.5	5	coherent
72.5	2.5	incoherent
75	5	coherent
80	5	incoherent
85	2.5	coherent
87.5	5	incoherent
92.5	5	coherent
97.5	5	incoherent
102.5	5	coherent
107.5	12.5	incoherent
120	2.5	coherent
122.5	5	incoherent
127.5	15	coherent
142.5	2.5	incoherent
145	15	coherent
160	5	incoherent
165	15	mae
180	30	static
210	20	coherent
210	120	motion
230	2.5	incoherent
232.5	17.5	coherent
250	7.5	incoherent
257.5	15	coherent
272.5	5	incoherent
277.5	12.5	coherent
290	5	incoherent
295	32.5	coherent
327.5	2.5	incoherent
330	15	mae
345	30	static
375	15	discard
