onset	duration	trial_type
0	15	discard
15	31	static
45	120	motion
46	7	coherent
53	2	incoherent
55	5	coherent
60	2	incoherent
62	6	coherent
68	2	incoherent
70	3	coherent
73	1	incoherent
74	6	coherent
80	2	incoherent
82	3	coherent
85	1	incoherent
86	2	coherent
88	4	incoherent
92	7	coherent
99	1	incoherent
100	5	coherent
105	2	incoherent
107	5	coherent
112	2	incoherent
114	6	coherent
120	4	incoherent
124	3	coherent
127	5	incoherent
132	6	coherent
138	1	incoherent
139	4	coherent
143	3	incoherent
146	4	coherent
150	1	incoherent
151	5	coherent
156	4	incoherent
160	5	coherent
165	15	mae
180	30	static
210	1	incoherent
210	120	motion
211	10	coherent
221	2	incoherent
223	9	coherent
232	4	incoherent
236	5	coherent
241	2	incoherent
243	4	coherent
247	4	incoherent
251	5	coherent
256	4	incoherent
260	5	coherent
265	3	incoherent
268	3	coherent
271	2	incoherent
273	5	coherent
278	1	incoherent
279	5	coherent
284	3	incoherent
287	2	coherent
289	3	incoherent
292	4	coherent
296	4	incoherent
300	2	coherent
302	5	incoherent
307	3	coherent
310	2	incoherent
312	4	coherent
316	1	incoherent
317	4	coherent
321	3	incoherent
324	6	coherent
330	15	mae
345	30	static
375	15	discard
