onset	duration	trial_type
0	15	discard
15	31	static
45	120	motion
46	7	coherent
53	1	incoherent
54	6	coherent
60	1	incoherent
61	12	coherent
73	1	incoherent
74	6	coherent
80	1	incoherent
81	3	coherent
84	2	incoherent
86	1	coherent
87	4	incoherent
91	7	coherent
98	1	incoherent
99	5	coherent
104	2	incoherent
106	5	coherent
111	3	incoherent
114	6	coherent
120	3	incoherent
123	4	coherent
127	5	incoherent
132	5	coherent
137	1	incoherent
138	4	coherent
142	3	incoherent
145	4	coherent
149	1	incoherent
150	5	coherent
155	4	incoherent
159	5	coherent
164	1	incoherent
165	15	mae
180	30	static
210	1	incoherent
210	120	motion
211	9	coherent
220	3	incoherent
223	9	coherent
232	3	incoherent
235	5	coherent
240	2	incoherent
242	5	coherent
247	4	incoherent
251	4	coherent
255	5	incoherent
260	4	coherent
264	3	incoherent
267	3	coherent
270	3	incoherent
273	4	coherent
277	2	incoherent
279	4	coherent
283	3	incoherent
286	2	coherent
288	3	incoherent
291	4	coherent
295	4	incoherent
299	2	coherent
301	5	incoherent
306	3	coherent
309	3	incoherent
312	3	coherent
315	2	incoherent
317	3	coherent
320	3	incoherent
323	6	coherent
329	1	incoherent
330	15	mae
345	30	static
375	15	discard
