onset	duration	trial_type
0	15	discard
15	30	static
45	5	coherent
45	120	motion
50	5	incoherent
55	15	coherent
70	2.5	incoherent
72.5	7.5	coherent
80	7.5	incoherent
87.5	2.5	coherent
90	2.5	incoherent
92.5	2.5	coherent
95	2.5	incoherent
97.5	2.5	coherent
100	10	incoherent
110	2.5	coherent
112.5	12.5	incoherent
125	5	coherent
130	2.5	incoherent
132.5	2.5	coherent
135	2.5	incoherent
137.5	2.5	coherent
140	15	incoherent
155	5	coherent
160	2.5	incoherent
162.5	2.5	coherent
165	15	mae
180	30	static
210	7.5	coherent
210	120	motion
217.5	12.5	incoherent
230	7.5	coherent
237.5	15	incoherent
252.5	5	coherent
257.5	2.5	incoherent
260	5	coherent
265	2.5	incoherent
267.5	5	coherent
272.5	7.5	incoherent
280	5	coherent
285	2.5	incoherent
287.5	15	coherent
302.5	2.5	incoherent
305	5	coherent
310	12.5	incoherent
322.5	5	coherent
327.5	2.5	incoherent
330	15	mae
345	30	static
375	15	discard
