onset	duration	trial_type
0	15	discard
15	30.75	static
45	120	motion
45.75	14.25	coherent
60	1.5	incoherent
61.5	2.25	coherent
63.75	0.75	incoherent
64.5	0.75	coherent
65.25	3	incoherent
68.25	3	coherent
71.25	1.5	incoherent
72.75	7.5	coherent
80.25	0.75	incoherent
81	3	coherent
84	0.75	incoherent
84.75	4.5	coherent
89.25	3.75	incoherent
93	7.5	coherent
100.5	0.75	incoherent
101.25	0.75	coherent
102	1.5	incoherent
103.5	1.5	coherent
105	4.5	incoherent
109.5	5.25	coherent
114.75	0.75	incoherent
115.5	17.25	coherent
132.75	1.5	incoherent
134.25	0.75	coherent
135	1.5	incoherent
136.5	0.75	coherent
137.25	2.25	incoherent
139.5	6.75	coherent
146.25	3	incoherent
149.25	6.75	coherent
156	0.75	incoherent
156.75	6.75	coherent
163.5	0.75	incoherent
164.25	0.75	coherent
165	15	mae
180	30	static
210	4.5	coherent
210	120	motion
214.5	0.75	incoherent
215.25	3	coherent
218.25	3.75	incoherent
222	2.25	coherent
224.25	5.25	incoherent
229.5	3	coherent
232.5	0.75	incoherent
233.25	3	coherent
236.25	1.5	incoherent
237.75	2.25	coherent
240	3	incoherent
243	3.75	coherent
246.75	0.75	incoherent
247.5	0.75	coherent
248.25	4.5	incoherent
252.75	1.5	coherent
254.25	0.75	incoherent
255	1.5	coherent
256.5	2.25	incoherent
258.75	1.5	coherent
260.25	3	incoherent
263.25	1.5	coherent
264.75	0.75	incoherent
265.5	4.5	coherent
270	0.75	incoherent
270.75	1.5	coherent
272.25	0.75	incoherent
273	0.75	coherent
273.75	3.75	incoherent
277.5	2.25	coherent
279.75	7.5	incoherent
287.25	1.5	coherent
288.75	0.75	incoherent
289.5	0.75	coherent
290.25	0.75	incoherent
291	7.5	coherent
298.5	3.75	incoherent
302.25	1.5	coherent
303.75	6.75	incoherent
310.5	2.25	coherent
312.75	2.25	incoherent
315	0.75	coherent
315.75	5.25	incoherent
321	1.5	coherent
322.5	0.75	incoherent
323.25	0.75	coherent
324	3	incoherent
327	3	coherent
330	15	mae
345	30	static
375	15	discard
