onset	duration	trial_type
0	15	discard
15	30.75	static
45	120	motion
45.75	9.75	coherent
55.5	18	incoherent
73.5	6	coherent
79.5	6.75	incoherent
86.25	5.25	coherent
91.5	5.25	incoherent
96.75	2.25	coherent
99	3	incoherent
102	4.5	coherent
106.5	4.5	incoherent
111	3	coherent
114	4.5	incoherent
118.5	2.25	coherent
120.75	3.75	incoherent
124.5	2.25	coherent
126.75	4.5	incoherent
131.25	1.5	coherent
132.75	2.25	incoherent
135	3	coherent
138	6	incoherent
144	2.25	coherent
146.25	2.25	incoherent
148.5	4.5	coherent
153	3	incoherent
156	2.25	coherent
158.25	2.25	incoherent
160.5	1.5	coherent
162	3	incoherent
165	15	mae
180	30	static
210	4.5	coherent
210	120	motion
214.5	2.25	incoherent
216.75	2.25	coherent
219	3.75	incoherent
222.75	3	coherent
225.75	3	incoherent
228.75	3	coherent
231.75	3	incoherent
234.75	3	coherent
237.75	5.25	incoherent
243	3	coherent
246	3.75	incoherent
249.75	3	coherent
252.75	6.75	incoherent
259.5	2.25	coherent
261.75	6	incoherent
267.75	3	coherent
270.75	2.25	incoherent
273	2.25	coherent
275.25	2.25	incoherent
277.5	2.25	coherent
279.75	3.75	incoherent
283.5	2.25	coherent
285.75	3.75	incoherent
289.5	6	coherent
295.5	1.5	incoherent
297	3	coherent
300	6	incoherent
306	7.5	coherent
313.5	1.5	incoherent
315	3	coherent
318	3.75	incoherent
321.75	2.25	coherent
324	3	incoherent
327	2.25	coherent
329.25	0.75	incoherent
330	15	mae
345	30	static
375	15	discard
