onset	duration	trial_type
0	15	discard
15	31	static
45	120	motion
46	7	coherent
53	4	incoherent
57	7	coherent
64	8	incoherent
72	14	coherent
86	9	incoherent
95	5	coherent
100	4	incoherent
104	10	coherent
114	1	incoherent
115	4	coherent
119	7	incoherent
126	11	coherent
137	5	incoherent
142	9	coherent
151	4	incoherent
155	10	coherent
165	15	mae
180	30	static
210	13	coherent
210	120	motion
223	6	incoherent
229	9	coherent
238	8	incoherent
246	18	coherent
264	6	incoherent
270	10	coherent
280	7	incoherent
287	12	coherent
299	2	incoherent
301	18	coherent
319	8	incoherent
327	3	coherent
330	15	mae
345	30	static
375	15	discard
