onset	duration	trial_type
0	15	discard
15	30	static
45	7.5	coherent
45	120	motion
52.5	10	incoherent
62.5	5	coherent
67.5	5	incoherent
72.5	2.5	coherent
75	7.5	incoherent
82.5	7.5	coherent
90	5	incoherent
95	2.5	coherent
97.5	2.5	incoherent
100	10	coherent
110	7.5	incoherent
117.5	5	coherent
122.5	2.5	incoherent
125	15	coherent
140	7.5	incoherent
147.5	5	coherent
152.5	2.5	incoherent
155	2.5	coherent
157.5	2.5	incoherent
160	5	coherent
165	15	mae
180	30	static
210	7.5	coherent
210	120	motion
217.5	2.5	incoherent
220	2.5	coherent
222.5	5	incoherent
227.5	5	coherent
232.5	5	incoherent
237.5	5	coherent
242.5	2.5	incoherent
245	15	coherent
260	5	incoherent
265	5	coherent
270	2.5	incoherent
272.5	7.5	coherent
280	5	incoherent
285	5	coherent
290	2.5	incoherent
292.5	5	coherent
297.5	2.5	incoherent
300	17.5	coherent
317.5	10	incoherent
327.5	2.5	coherent
330	15	mae
345	30	static
375	15	discard
