onset	duration	trial_type
0	15	discard
15	30.75	static
45	120	motion
45.75	4.5	coherent
50.25	3	incoherent
53.25	1.5	coherent
54.75	2.25	incoherent
57	20.25	coherent
77.25	6	incoherent
83.25	4.5	coherent
87.75	8.25	incoherent
96	9.75	coherent
105.75	6	incoherent
111.75	7.5	coherent
119.25	3	incoherent
122.25	2.25	coherent
124.5	5.25	incoherent
129.75	7.5	coherent
137.25	4.5	incoherent
141.75	11.25	coherent
153	5.25	incoherent
158.25	6.75	coherent
165	15	mae
180	30	static
210	8.25	coherent
210	120	motion
218.25	5.25	incoherent
223.5	16.5	coherent
240	8.25	incoherent
248.25	25.5	coherent
273.75	7.5	incoherent
281.25	18	coherent
299.25	5.25	incoherent
304.5	6.75	coherent
311.25	6.75	incoherent
318	9	coherent
327	3	incoherent
330	15	mae
345	30	static
375	15	discard
