onset	duration	trial_type
0	15	discard
15	30	static
45	6	coherent
45	120	motion
51	9	incoherent
60	4	coherent
64	1	incoherent
65	6	coherent
71	4	incoherent
75	11	coherent
86	13	incoherent
99	3	coherent
102	1	incoherent
103	6	coherent
109	3	incoherent
112	6	coherent
118	6	incoherent
124	4	coherent
128	2	incoherent
130	9	coherent
139	1	incoherent
140	5	coherent
145	4	incoherent
149	7	coherent
156	7	incoherent
163	2	coherent
165	15	mae
180	30	static
210	6	coherent
210	120	motion
216	1	incoherent
217	5	coherent
222	2	incoherent
224	3	coherent
227	4	incoherent
231	10	coherent
241	5	incoherent
246	6	coherent
252	2	incoherent
254	5	coherent
259	13	incoherent
272	3	coherent
275	11	incoherent
286	3	coherent
289	6	incoherent
295	8	coherent
303	4	incoherent
307	9	coherent
316	1	incoherent
317	8	coherent
325	2	incoherent
327	3	coherent
330	15	mae
345	30	static
375	15	discard
