onset	duration	trial_type
0	15	discard
15	31.5	static
45	120	motion
46.5	12	coherent
58.5	6.5	incoherent
65	1	coherent
66	8	incoherent
74	6	coherent
80	7.5	incoherent
87.5	4	coherent
91.5	6	incoherent
97.5	19.5	coherent
117	3	incoherent
120	2.5	coherent
122.5	5.5	incoherent
128	35.5	coherent
163.5	1	incoherent
164.5	0.5	coherent
165	15	mae
180	30	static
210	19	coherent
210	120	motion
229	4.5	incoherent
233.5	11	coherent
244.5	1.5	incoherent
246	1	coherent
247	1	incoherent
248	9	coherent
257	1	incoherent
258	5	coherent
263	1	incoherent
264	66	coherent
330	15	mae
345	30	static
375	15	discard
