onset	duration	trial_type
0	15	discard
15	30.5	static
45	120	motion
45.5	19	coherent
64.5	6.5	incoherent
71	22	coherent
93	5.5	incoherent
98.5	17	coherent
115.5	3	incoherent
118.5	5.5	coherent
124	5	incoherent
129	7	coherent
136	2	incoherent
138	27	coherent
165	15	mae
180	30	static
210	18	coherent
210	120	motion
228	2	incoherent
230	5.5	coherent
235.5	3	incoherent
238.5	33.5	coherent
272	8.5	incoherent
280.5	6.5	coherent
287	13	incoherent
300	6	coherent
306	6	incoherent
312	5.5	coherent
317.5	12.5	incoherent
330	15	mae
345	30	static
375	15	discard
