onset	duration	trial_type
0	15	discard
15	31	static
45	120	motion
46	10	coherent
56	7.5	incoherent
63.5	5	coherent
68.5	2.5	incoherent
71	9	coherent
80	6	incoherent
86	2	coherent
88	5	incoherent
93	11	coherent
104	4	incoherent
108	1	coherent
109	1	incoherent
110	3	coherent
113	4	incoherent
117	10.5	coherent
127.5	4	incoherent
131.5	6	coherent
137.5	6.5	incoherent
144	3	coherent
147	1	incoherent
148	6.5	coherent
154.5	4.5	incoherent
159	2	coherent
161	1.5	incoherent
162.5	2.5	coherent
165	15	mae
180	30	static
210	9.5	coherent
210	120	motion
219.5	5	incoherent
224.5	3	coherent
227.5	6.5	incoherent
234	6.5	coherent
240.5	3.5	incoherent
244	2.5	coherent
246.5	4.5	incoherent
251	5.5	coherent
256.5	7.5	incoherent
264	8.5	coherent
272.5	5.5	incoherent
278	6	coherent
284	4	incoherent
288	2.5	coherent
290.5	4.5	incoherent
295	4.5	coherent
299.5	2	incoherent
301.5	4.5	coherent
306	6	incoherent
312	2.5	coherent
314.5	5	incoherent
319.5	8	coherent
327.5	2.5	incoherent
330	15	mae
345	30	static
375	15	discard
