onset	duration	trial_type
0	15	discard
15	31	static
45	120	motion
46	22	coherent
68	2	incoherent
70	3.5	coherent
73.5	1.5	incoherent
75	1.5	coherent
76.5	1	incoherent
77.5	5.5	coherent
83	13	incoherent
96	32.5	coherent
128.5	16	incoherent
144.5	3	coherent
147.5	0.5	incoherent
148	17	coherent
165	15	mae
180	30	static
210	13	coherent
210	120	motion
223	24.5	incoherent
247.5	16.5	coherent
264	12.5	incoherent
276.5	20.5	coherent
297	4.5	incoherent
301.5	8	coherent
309.5	6	incoherent
315.5	14.5	coherent
330	15	mae
345	30	static
375	15	discard
