onset	duration	trial_type
0	15	discard
15	31	static
45	120	motion
46	2	coherent
48	7	incoherent
55	14	coherent
69	13	incoherent
82	2	coherent
84	11	incoherent
95	4	coherent
99	3	incoherent
102	3	coherent
105	5	incoherent
110	2	coherent
112	6	incoherent
118	2	coherent
120	2	incoherent
122	2	coherent
124	5	incoherent
129	6	coherent
135	10	incoherent
145	3	coherent
148	7	incoherent
155	3	coherent
158	7	incoherent
165	15	mae
180	30	static
210	11	incoherent
210	120	motion
221	2	coherent
223	8	incoherent
231	5	coherent
236	6	incoherent
242	3	coherent
245	3	incoherent
248	6	coherent
254	5	incoherent
259	9	coherent
268	3	incoherent
271	6	coherent
277	2	incoherent
279	4	coherent
283	3	incoherent
286	5	coherent
291	4	incoherent
295	3	coherent
298	1	incoherent
299	2	coherent
301	3	incoherent
304	8	coherent
312	1	incoherent
313	14	coherent
327	2	incoherent
329	1	coherent
330	15	mae
345	30	static
375	15	discard
