onset	duration	trial_type
0	15	discard
15	30.75	static
45	120	motion
45.75	2.25	coherent
48	1.5	incoherent
49.5	4.5	coherent
54	8.25	incoherent
62.25	4.5	coherent
66.75	3	incoherent
69.75	9.75	coherent
79.5	3	incoherent
82.5	1.5	coherent
84	2.25	incoherent
86.25	13.5	coherent
99.75	4.5	incoherent
104.25	9.75	coherent
114	2.25	incoherent
116.25	3	coherent
119.25	6	incoherent
125.25	34.5	coherent
159.75	3.75	incoherent
163.5	1.5	coherent
165	15	mae
180	30	static
210	8.25	coherent
210	120	motion
218.25	1.5	incoherent
219.75	2.25	coherent
222	2.25	incoherent
224.25	4.5	coherent
228.75	1.5	incoherent
230.25	24.75	coherent
255	4.5	incoherent
259.5	28.5	coherent
288	3.75	incoherent
291.75	38.25	coherent
330	15	mae
345	30	static
375	15	discard
