onset	duration	trial_type
0	15	discard
15	31.5	static
45	120	motion
46.5	1.5	incoherent
48	6	coherent
54	4.5	incoherent
58.5	1.5	coherent
60	7.5	incoherent
67.5	3	coherent
70.5	8.25	incoherent
78.75	6.75	coherent
85.5	3.75	incoherent
89.25	5.25	coherent
94.5	15	incoherent
109.5	3	coherent
112.5	5.25	incoherent
117.75	6.75	coherent
124.5	6.75	incoherent
131.25	3	coherent
134.25	0.75	incoherent
135	6.75	coherent
141.75	1.5	incoherent
143.25	4.5	coherent
147.75	7.5	incoherent
155.25	2.25	coherent
157.5	6	incoherent
163.5	0.75	coherent
164.25	0.75	incoherent
165	15	mae
180	30	static
210	13.5	incoherent
210	120	motion
223.5	6	coherent
229.5	10.5	incoherent
240	9	coherent
249	7.5	incoherent
256.5	0.75	coherent
257.25	6	incoherent
263.25	4.5	coherent
267.75	6	incoherent
273.75	1.5	coherent
275.25	8.25	incoherent
283.5	9	coherent
292.5	3	incoherent
295.5	4.5	coherent
300	6.75	incoherent
306.75	3.75	coherent
310.5	1.5	incoherent
312	2.25	coherent
314.25	8.25	incoherent
322.5	6.75	coherent
329.25	0.75	incoherent
330	15	mae
345	30	static
375	15	discard
