onset	duration	trial_type
0	15	discard
15	31.5	static
45	120	motion
46.5	13	coherent
59.5	3	incoherent
62.5	12	coherent
74.5	7	incoherent
81.5	5	coherent
86.5	4.5	incoherent
91	6.5	coherent
97.5	3.5	incoherent
101	7.5	coherent
108.5	2	incoherent
110.5	21.5	coherent
132	0.5	incoherent
132.5	17	coherent
149.5	4	incoherent
153.5	11	coherent
164.5	0.5	incoherent
165	15	mae
180	30	static
210	9	coherent
210	120	motion
219	2	incoherent
221	9.5	coherent
230.5	4	incoherent
234.5	6	coherent
240.5	4	incoherent
244.5	6.5	coherent
251	3.5	incoherent
254.5	10	coherent
264.5	4	incoherent
268.5	4.5	coherent
273	5.5	incoherent
278.5	4.5	coherent
283	0.5	incoherent
283.5	25.5	coherent
309	3	incoherent
312	18	coherent
330	15	mae
345	30	static
375	15	discard
