onset	duration	trial_type
0	15	discard
15	31	static
45	120	motion
46	3	coherent
49	1	incoherent
50	2	coherent
52	1	incoherent
53	15.5	coherent
68.5	5	incoherent
73.5	2	coherent
75.5	4.5	incoherent
80	1	coherent
81	2	incoherent
83	1	coherent
84	1	incoherent
85	1	coherent
86	1.5	incoherent
87.5	1	coherent
88.5	4	incoherent
92.5	1.5	coherent
94	13	incoherent
107	1.5	coherent
108.5	0.5	incoherent
109	2.5	coherent
111.5	2.5	incoherent
114	4.5	coherent
118.5	1	incoherent
119.5	3.5	coherent
123	2	incoherent
125	2.5	coherent
127.5	6.5	incoherent
134	1.5	coherent
135.5	2.5	incoherent
138	1	coherent
139	9.5	incoherent
148.5	1	coherent
149.5	7	incoherent
156.5	5	coherent
161.5	0.5	incoherent
162	3	coherent
165	15	mae
180	30	static
210	2.5	coherent
210	120	motion
212.5	3.5	incoherent
216	4.5	coherent
220.5	4.5	incoherent
225	4.5	coherent
229.5	4.5	incoherent
234	5.5	coherent
239.5	4.5	incoherent
244	3.5	coherent
247.5	3	incoherent
250.5	3.5	coherent
254	5	incoherent
259	1	coherent
260	1.5	incoherent
261.5	4	coherent
265.5	0.5	incoherent
266	6	coherent
272	2.5	incoherent
274.5	2	coherent
276.5	2	incoherent
278.5	2.5	coherent
281	3	incoherent
284	2	coherent
286	4	incoherent
290	2.5	coherent
292.5	3.5	incoherent
296	4	coherent
300	2.5	incoherent
302.5	2	coherent
304.5	4	incoherent
308.5	3	coherent
311.5	2.5	incoherent
314	4	coherent
318	3.5	incoherent
321.5	2	coherent
323.5	3	incoherent
326.5	1	coherent
327.5	0.5	incoherent
328	2	coherent
330	15	mae
345	30	static
375	15	discard
