onset	duration	trial_type
0	15	discard
15	31	static
45	120	motion
46	9	coherent
55	4	incoherent
59	9	coherent
68	3	incoherent
71	7	coherent
78	2	incoherent
80	9	coherent
89	2	incoherent
91	6	coherent
97	3	incoherent
100	27	coherent
127	2	incoherent
129	3	coherent
132	2	incoherent
134	1	coherent
135	3	incoherent
138	4	coherent
142	6	incoherent
148	2	coherent
150	4	incoherent
154	4	coherent
158	4	incoherent
162	3	coherent
165	15	mae
180	30	static
210	1	incoherent
210	120	motion
211	15	coherent
226	8	incoherent
234	4	coherent
238	4	incoherent
242	4	coherent
246	7	incoherent
253	14	coherent
267	9	incoherent
276	3	coherent
279	1	incoherent
280	27	coherent
307	7	incoherent
314	16	coherent
330	15	mae
345	30	static
375	15	discard
