onset	duration	trial_type
0	15	discard
15	30.75	static
45	120	motion
45.75	12.75	coherent
58.5	3.75	incoherent
62.25	17.25	coherent
79.5	3	incoherent
82.5	5.25	coherent
87.75	4.5	incoherent
92.25	7.5	coherent
99.75	6.75	incoherent
106.5	9	coherent
115.5	5.25	incoherent
120.75	5.25	coherent
126	2.25	incoherent
128.25	6	coherent
134.25	4.5	incoherent
138.75	6	coherent
144.75	3.75	incoherent
148.5	2.25	coherent
150.75	10.5	incoherent
161.25	3.75	coherent
165	15	mae
180	30	static
210	0.75	incoherent
210	120	motion
210.75	33.75	coherent
244.5	8.25	incoherent
252.75	4.5	coherent
257.25	3	incoherent
260.25	21.75	coherent
282	8.25	incoherent
290.25	8.25	coherent
298.5	6	incoherent
304.5	25.5	coherent
330	15	mae
345	30	static
375	15	discard
