onset	duration	trial_type
0	15	discard
15	30	static
45	10	coherent
45	120	motion
55	10	incoherent
65	5	coherent
70	10	incoherent
80	5	coherent
85	5	incoherent
90	5	coherent
95	7.5	incoherent
102.5	5	coherent
107.5	7.5	incoherent
115	2.5	coherent
117.5	5	incoherent
122.5	5	coherent
127.5	7.5	incoherent
135	5	coherent
140	7.5	incoherent
147.5	2.5	coherent
150	5	incoherent
155	10	coherent
165	15	mae
180	30	static
210	2.5	incoherent
210	120	motion
212.5	12.5	coherent
225	17.5	incoherent
242.5	7.5	coherent
250	7.5	incoherent
257.5	2.5	coherent
260	15	incoherent
275	12.5	coherent
287.5	7.5	incoherent
295	2.5	coherent
297.5	2.5	incoherent
300	5	coherent
305	7.5	incoherent
312.5	2.5	coherent
315	15	incoherent
330	15	mae
345	30	static
375	15	discard
