onset	duration	trial_type
0	15	discard
15	30.75	static
45	120	motion
45.75	16.5	coherent
62.25	3.75	incoherent
66	0.75	coherent
66.75	18.75	incoherent
85.5	6	coherent
91.5	1.5	incoherent
93	3	coherent
96	3	incoherent
99	8.25	coherent
107.25	4.5	incoherent
111.75	3.75	coherent
115.5	4.5	incoherent
120	8.25	coherent
128.25	8.25	incoherent
136.5	5.25	coherent
141.75	8.25	incoherent
150	3	coherent
153	8.25	incoherent
161.25	3.75	coherent
165	15	mae
180	30	static
210	8.25	coherent
210	120	motion
218.25	2.25	incoherent
220.5	4.5	coherent
225	9.75	incoherent
234.75	4.5	coherent
239.25	6	incoherent
245.25	17.25	coherent
262.5	4.5	incoherent
267	4.5	coherent
271.5	5.25	incoherent
276.75	7.5	coherent
284.25	5.25	incoherent
289.5	14.25	coherent
303.75	3.75	incoherent
307.5	6.75	coherent
314.25	11.25	incoherent
325.5	4.5	coherent
330	15	mae
345	30	static
375	15	discard
