onset	duration	trial_type
0	15	discard
15	31	static
45	120	motion
46	4	coherent
50	2	incoherent
52	4	coherent
56	4	incoherent
60	2	coherent
62	3	incoherent
65	2	coherent
67	5	incoherent
72	2	coherent
74	4	incoherent
78	3	coherent
81	1	incoherent
82	2	coherent
84	3	incoherent
87	3	coherent
90	7	incoherent
97	1	coherent
98	2	incoherent
100	5	coherent
105	7	incoherent
112	4	coherent
116	6	incoherent
122	3	coherent
125	4	incoherent
129	2	coherent
131	2	incoherent
133	2	coherent
135	4	incoherent
139	3	coherent
142	3	incoherent
145	3	coherent
148	2	incoherent
150	2	coherent
152	6	incoherent
158	7	coherent
165	15	mae
180	30	static
210	5	coherent
210	120	motion
215	2	incoherent
217	3	coherent
220	2	incoherent
222	1	coherent
223	2	incoherent
225	1	coherent
226	3	incoherent
229	3	coherent
232	6	incoherent
238	4	coherent
242	4	incoherent
246	10	coherent
256	6	incoherent
262	9	coherent
271	8	incoherent
279	3	coherent
282	3	incoherent
285	12	coherent
297	3	incoherent
300	8	coherent
308	8	incoherent
316	14	coherent
330	15	mae
345	30	static
375	15	discard
