onset	duration	trial_type
0	15	discard
15	31.5	static
45	120	motion
46.5	9.75	coherent
56.25	8.25	incoherent
64.5	4.5	coherent
69	6	incoherent
75	6.75	coherent
81.75	1.5	incoherent
83.25	0.75	coherent
84	6	incoherent
90	6	coherent
96	7.5	incoherent
103.5	3	coherent
106.5	1.5	incoherent
108	8.25	coherent
116.25	2.25	incoherent
118.5	3	coherent
121.5	3	incoherent
124.5	2.25	coherent
126.75	6	incoherent
132.75	7.5	coherent
140.25	3	incoherent
143.25	3.75	coherent
147	3	incoherent
150	4.5	coherent
154.5	6	incoherent
160.5	4.5	coherent
165	15	mae
180	30	static
210	6.75	coherent
210	120	motion
216.75	4.5	incoherent
221.25	3	coherent
224.25	8.25	incoherent
232.5	1.5	coherent
234	6.75	incoherent
240.75	3.75	coherent
244.5	3.75	incoherent
248.25	3.75	coherent
252	4.5	incoherent
256.5	1.5	coherent
258	3.75	incoherent
261.75	5.25	coherent
267	1.5	incoherent
268.5	4.5	coherent
273	6	incoherent
279	2.25	coherent
281.25	6	incoherent
287.25	2.25	coherent
289.5	0.75	incoherent
290.25	3	coherent
293.25	5.25	incoherent
298.5	3.75	coherent
302.25	1.5	incoherent
303.75	3	coherent
306.75	4.5	incoherent
311.25	2.25	coherent
313.5	1.5	incoherent
315	6	coherent
321	2.25	incoherent
323.25	2.25	coherent
325.5	3.75	incoherent
329.25	0.75	coherent
330	15	mae
345	30	static
375	15	discard
