	t0	t1	t2	t3	t4	t5	t6
sub-01_AA_trial0	0.8521522379386185	0.023022529814650618	0.9626515413651512	0.995362680789589	0.9942442039264973	0.9894287883898896	0.9993011914824738
sub-01_AA_trial1	0.9804435578287608	0.8247969822550325	0.8899611041356087	0.9921743721115304	0.9982834715708325	0.8617924454577014	0.7993957147914734
sub-01_AA_trial2	0.8488071344200464	0.572106685366928	0.8142026963898016	0.9015264842007015	0.5923136193613784	0.6059821702686976	0.8280120728172343
sub-01_AA_trial3	0.8280120728172343	0.3583194158309162	0.9632479360412672	0.41920482194416536	-0.999307473745736	-0.8471444745934243	0.7945468865732245
sub-01_AA_trial4	0.720922560442398	0.9944551460161438	0.9172435808432756	0.20618834823356277	-0.8067998207595551	0.11404506470904441	-0.48083431247252745
sub-01_AA_trial5	0.8689264012047736	0.6376619606167617	-0.08389285900936407	-0.2593773818109485	0.535616581343701	0.78163673626395	0.02656287919277209
sub-01_AA_trial6	0.78163673626395	0.02656287919277209	-0.6132752169803733	-0.7830298628690315	0.995716082322927	0.9987320926872264	-0.7896901350094376
sub-01_AA_trial7	0.7398086470285178	0.9284598088308358	0.7102796232198036	0.9227262092100116	0.6859774881677021	0.9988016353308132	0.7043722239387525
sub-01_UA_trial0	-0.47627983753878284	0.7523255838976032	0.938071500428712	0.6037692510716226	0.8660119093418629	0.3871494617717828	-0.9126064099152443
sub-01_UA_trial1	0.8198711418723204	0.9449276786692982	0.4487806578583818	0.7881572868133405	0.991031086456427	0.993491958496706	0.805511388682959
sub-01_UA_trial2	0.991031086456427	0.993491958496706	0.805511388682959	-0.9957798554297516	0.9853997384015966	0.8398745816092241	0.8477946684857042
sub-01_UA_trial3	0.8477946684857042	0.9365001827473133	0.8430130132989951	0.11614482331941452	0.664261102243758	0.9946647260928017	0.8074275365705129
sub-01_UA_trial4	0.9833856743692945	0.9964540215806624	0.6699981437392888	0.2692772396898084	0.9956485141861696	0.7296568357471951	0.9770576372725128
sub-01_UA_trial5	0.9878407766075442	0.7829219692873503	0.9910693254427306	0.9115554418621507	0.9117101616046458	0.8081016635101821	0.9958988236442161
sub-01_UA_trial6	0.9736330139517293	0.9985766356805534	0.9999207813594175	0.9814439392723516	0.9437617696340962	0.9455071359477285	0.9856276113484398
sub-01_UA_trial7	0.6825076727022799	0.21865133268933284	0.9547454696772225	0.8999516853452744	0.9913163240265694	0.7151442393382036	-0.610466653634223
sub-02_AA_trial0	0.9552636432456936	0.9941045196551437	0.9783499004520858	0.966612156599627	0.9880658385676496	0.7220373847395748	0.8070276484686433
sub-02_AA_trial1	0.9614144444605406	0.98350417445867	0.6858933354306519	0.30677825598276093	0.3916104513781978	0.7981111871870807	0.9960396358684328
sub-02_AA_trial2	0.7981111871870807	0.9960396358684328	0.3482830864239618	0.4363457631289	0.24943393493444052	0.9929276949716038	0.8392761970639003
sub-02_AA_trial3	0.8592311662710974	0.7247307534805949	-0.9956195340436899	-0.4284071804919049	0.9983886764955031	0.9894935207674523	0.9998562504212072
sub-02_AA_trial4	0.8602986006730999	0.9517325075384462	0.971591633420602	0.9936901171599662	0.9909824524684138	0.7674173679165355	-0.7322991633643989
sub-02_AA_trial5	0.596665134821285	0.4027625252168802	0.36617100623584026	-0.7258955838365654	-0.9996348271983315	-0.9911216063644668	-0.6167735296026605
sub-02_AA_trial6	0.1981232155427921	-0.9127694489704403	0.9599097132333665	0.6961154764845462	0.7774654756401587	0.8219602968282167	0.9991169339657987
sub-02_AA_trial7	0.9144933666127081	0.7981379242002793	0.32730689980940914	0.9993912357331689	0.5814427158850142	0.7741294176810108	0.9518089943332363
sub-02_UA_trial0	0.9948823563108168	0.389706299305183	0.9129823359058638	0.46726272726205437	-0.8025964785636669	0.10689960469060569	-0.3071859723372905
sub-02_UA_trial1	-0.8025964785636669	0.10689960469060569	-0.3071859723372905	0.9449660548981321	0.9440332637512697	0.7952350670470739	0.8639327988711102
sub-02_UA_trial2	0.7952350670470739	0.8639327988711102	-0.6332269219839117	0.9970495137763085	0.9967358046165841	0.904876129650844	-0.5572339691991798
sub-02_UA_trial3	0.902404001239608	0.3041949251675385	0.9955894404407443	0.7740428598522833	0.8653060477901292	-0.9520187879308535	0.7305731818363417
sub-02_UA_trial4	0.9738021688323415	0.9645829794073951	0.2369319112715649	0.8423376711712897	0.939806997024162	0.7009844019603613	0.8832285939029019
sub-02_UA_trial5	0.6637731779374422	0.9574459094945265	0.9382823881679063	-0.04322231457147689	0.3008663984905707	0.8870240911908598	0.5265129911947951
sub-02_UA_trial6	-0.41148262233360033	-0.17501194235473863	0.6025852617020648	0.5283831721401453	0.06531226766878545	0.9631252128987128	0.6859511014142804
sub-02_UA_trial7	0.4320053815376651	0.9266741924628891	0.8595907201403953	0.6695074452145456	-0.5692474616708819	0.6867073464658133	-0.43963024352521246
sub-03_AA_trial0	0.4859623126912756	0.9135335056428296	-0.34600988403355426	0.9957587899443683	0.9987155970677146	0.9227192636463706	0.6110556968320769
sub-03_AA_trial1	0.7378337427951852	-0.7902967404194724	-0.691680857485966	0.6051809999638731	0.8308595957643501	0.9475172140591763	0.7755525892790464
sub-03_AA_trial2	0.9833043933706396	0.9992770979790973	0.01262892639090174	-0.6427788795158812	-0.9694990711991547	-0.6266387054579354	0.1964729810615608
sub-03_AA_trial3	0.3225465420759928	0.9321639734774313	0.8281939958217006	0.6748416043449773	0.7448968308616304	0.8855202345275025	0.32135464397597685
sub-03_AA_trial4	-0.9987590564422988	0.8735644035401161	0.6681931634691655	0.3835848034626192	0.1352527339559609	0.30592341078485713	-0.3612275776168426
sub-03_UA_trial0	0.9486301869498157	-0.13893952962810946	0.6941108985498358	0.980803915473067	0.14830670894574205	-0.43192155230291845	0.9620972506932283
sub-03_UA_trial1	-0.5799101265291484	-0.5705707434299228	0.5561015534123076	0.01862301167414786	-0.4204012592263264	0.3583655576963625	-0.20960593402691693
sub-03_UA_trial2	0.1526470623527977	0.9513111373061183	-0.569105934600948	-0.2448287519552092	-0.3472320265721183	0.8135149884912269	0.8845456331464534
sub-03_UA_trial3	0.9554063488627066	0.9888972837249191	-0.029904181131598137	0.9224479538721024	0.6343495480001402	0.014127799069530256	-0.39461380206699836
sub-05_AA_trial0	0.3453747155533014	0.4123193501518297	-0.24592202111166925	0.2565635783707056	0.8700290265392983	0.9121397379969048	0.18050449256483708
sub-05_AA_trial1	0.4334979308997801	-0.22626333740594498	0.5769087383953793	0.8965805407801979	0.5182244216558448	0.031612993647071715	0.7949468129442991
sub-05_AA_trial2	0.9500837520118514	0.6402032495353811	0.9089109586049441	0.9998554203712278	0.9154525977126883	0.9743215420334627	0.6245007278461027
sub-05_AA_trial3	0.8788560016826998	0.9802526405792646	0.9902981357098364	0.5916050946709323	0.34698479691291373	0.9961583040023014	0.9095300132476871
sub-05_UA_trial0	0.9985617682556922	0.9665711350114071	0.7067203972039693	-0.6408969371947434	-0.052419017518716166	0.94090881702721	0.9786677423347042
sub-05_UA_trial1	0.2456135659982709	0.972698202085717	0.8404542026994624	0.9594565019165768	0.01026464257446449	-0.42219189571301996	0.34765704236789113
sub-05_UA_trial2	0.34765704236789113	0.9977431433932875	0.9627220943387285	0.9466819037083656	0.9474026372097354	0.9771923761850659	0.989245166162715
sub-05_UA_trial3	0.3109959163009835	0.6045970786684514	0.965236163462514	0.9888022307616983	0.3107548312540338	-0.4318697115953735	0.6469264845910364
sub-06_AA_trial0	0.9631557007568281	0.9772133855756612	0.5944492958090626	0.6967301795402943	0.9999523430880117	0.3719959239997191	0.06496721116068228
