	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16
sub-01_AA_trial0	0.8107323405036695	0.6155878834402138	0.6702167711184149	0.714762716980017	0.7589810766613548	0.7388535378166748	0.8038863850237348	0.4535252741368944	0.15940032749174646	0.13702416368581533	0.09166371319902958	-0.4633465957878014	-0.24098176650548558	-0.4382149038650287	0.40561889543376667	0.4602123707462028	0.52213232727582
sub-01_AA_trial1	-0.2930521013734281	-0.29756275175357005	-0.267032252254586	-0.15056088660056666	-0.030496823391850145	0.14803864286935758	0.6671759699306344	0.7795908257987035	0.7763619982247135	0.6981616800192002	0.784929450560354	0.7632268857501111	0.6446280022654223	0.6716571521086986	0.5894570834521415	0.27925704038972116	0.23144094481436914
sub-01_AA_trial2	0.6349148204079437	0.6893511990511683	0.757076627052064	0.7767550390541044	0.6578984785147158	0.6389974363732398	0.6905289407655104	0.6215487729836374	0.5476187389691638	0.3254261477739565	0.43624757918429935	0.4513070173268702	0.4019279930226153	0.1904463501486413	0.24072350542593487	0.3017270865894046	0.262727244716612
sub-01_AA_trial3	0.3017270865894046	0.262727244716612	-0.03528373868788772	0.6200757983812206	0.6305138306071914	0.7076828822132288	0.7540953330037327	0.689618829974654	0.5694866186410108	0.5722313196754103	0.8429849821301751	0.7629166345298464	0.7242540712415999	0.7616401633014968	0.8446319892393084	0.6214067167532576	0.32135537713696705
sub-01_AA_trial4	0.7507925748599925	0.5702191414429664	0.5932890888833537	0.5493468995889698	0.7640934818889579	0.5052559621847976	0.5418579263646419	0.5698188879484074	0.6217491140072715	0.7180041254138724	0.6267063371266167	0.6227798701837711	-0.21238607673824667	0.746511226899259	0.8024342655763209	0.8390738995370896	0.5434018055842939
sub-01_AA_trial5	0.3775053155988814	0.3836774076382749	0.5403786987820807	0.5233561950200547	0.6786664270240063	0.7757422806331384	0.5725232089784208	0.5896429149266221	0.6193689756767237	0.6342483953050606	0.47339037141809515	0.321525176465716	0.3959297865785525	0.5156830362463468	0.6726230334517932	0.7303338853137918	0.5531650984996365
sub-01_UA_trial0	-0.3874381836047271	0.3906455059026975	0.5753886234587952	0.8444694835283195	0.8691314862818577	0.9042406631652409	0.8480086629200402	0.8516438490885179	0.7784145964358905	0.7359085735025723	0.7808943902064127	0.8497884147665399	0.8927340131621238	0.8279881488357648	0.8467746788573779	0.7026701105292769	0.60982650245656
sub-01_UA_trial1	0.11287341357282545	0.2649527658436293	0.3696583345247673	0.4581145859420782	0.45869838926465667	0.5004831987367068	0.6423820981823679	0.7171147842177137	0.3907662111248259	0.5530237773029183	0.6690401188630458	0.6144815222483241	0.23852091163512862	0.26694716280606545	0.20798218432743462	0.08253005608035247	-0.07409967034214969
sub-01_UA_trial2	0.6557436923655934	0.7741525363220468	0.9731843958644025	0.9802625071329769	0.9869068955048899	0.9763220073574358	0.9615642857215739	0.8959048807241017	0.7994367418530496	0.797787705960513	0.7709567102995343	0.75380077844392	0.607886596644348	0.5070348110746963	0.5635943173346278	0.4897256430782222	0.22023375432490988
sub-01_UA_trial3	0.4897256430782222	0.22023375432490988	0.32161841831050764	0.5372829079910695	0.6469579845010935	0.7351595889493834	0.6482578089470951	0.24864386853538734	-0.10471232470488599	-0.016295464300475567	0.0025363851609845854	0.030511330488539812	0.04341733915436068	-0.1580758772891002	0.23926068314649165	0.3946137502119403	0.6388334540060264
