	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16
sub-01_AA_trial0	0.8389005282489087	0.8027153681919487	0.43905826108588736	0.13398257189276325	0.29344172184457396	0.2702876394823519	0.7074265695660017	0.7874434814116036	0.8633444130883392	0.8556026640777474	0.8779534891303157	0.7506759631289162	0.695671416149846	0.6652638506407977	0.8696265628780974	0.8921155888454794	0.8673329554407547
sub-01_AA_trial1	0.7911765985398698	0.671569430251396	0.6407131682273365	0.5038247838014446	0.5621521018654335	0.7017360592483547	0.8237472328583095	0.787232316480047	0.7594116005455449	0.7346949302189302	0.8168121056462176	0.6848026294322602	0.54974251179034	0.5744142182903047	0.7250810396924325	0.7949412351930596	0.548177284370937
sub-01_AA_trial2	0.8006596413953112	0.7041097124324657	0.7086943550672006	0.7362500649585143	0.7290771175606632	0.7313635401961642	0.7453225560937433	0.8513185022370712	0.6361950041908951	-0.16452479398357972	-0.23964957857215083	-0.2930521013734281	-0.29756275175357005	-0.267032252254586	-0.15056088660056666	-0.030496823391850145	0.14803864286935758
sub-01_AA_trial3	0.3834094868762109	0.3976857324908427	0.32505742546067995	0.47929259921277717	0.5334638772867514	0.6705947100045804	0.7470819145901265	0.602609303481642	0.4291481326506475	0.5269759092662533	0.5898593921472112	0.44009191945829634	0.1628404208858273	0.2120482856398088	0.5919089431954744	0.23566386792265898	0.1149723155045041
sub-01_AA_trial4	0.8555368697067145	0.8564900761498946	0.689148857510409	0.6976617638053438	0.9229731399864993	0.9328469888321916	0.9068042475185175	0.8890519151362668	0.8767299111969664	0.8142597784082436	0.890879790805087	0.9137191309042009	0.8845071342997778	0.8697702299734403	0.8649432370476492	0.8905832782086471	0.8336714129190949
sub-01_AA_trial5	0.721477505444336	0.6372001771911086	0.5705488334319823	0.30916656084562016	-0.26352523597912314	0.7881685737910288	0.7618614557989745	0.6929528722562688	0.609618470211285	0.5653868773424373	0.701274081799636	0.7081134553903947	0.8495252373878088	0.827563341997756	0.6825757200039735	0.5527805120734267	0.6625496305767034
sub-01_AA_trial6	0.6449009157863368	0.5953912522495546	0.38849658587376396	0.057740655504880174	0.03623364899993101	0.2482399321327055	0.620842833752056	0.6719571368138919	0.5056930530734945	0.645018483436406	0.8152582508498621	0.8434658387087961	0.7669845808990342	0.6323567908831124	0.7098621034351607	0.8887999575400654	0.9172907853143281
sub-01_UA_trial0	0.9527978241116829	0.9656745778292235	0.9886235667185181	0.8851408289306963	0.8480369896655372	0.883732571245556	0.9084861533436532	0.9159632193086102	0.9262271750334174	0.9144261247140033	0.7488093634891695	0.6201410188473923	0.7246060627948623	0.6225796039699022	0.5264573594968669	0.6642428458417898	0.7782378017220727
sub-01_UA_trial1	0.47938943634342207	0.7898323667998042	0.8321716483142225	0.8857348027944423	0.7301312644683716	0.6096239534346669	0.5735503601603705	0.6772505315212403	0.8149826448416847	0.7658356914066374	0.79877277131937	0.7552094107763863	0.7567389418637054	0.7510445813969223	0.7477828083913172	0.8434729646238603	0.7044498172930352
sub-01_UA_trial2	0.18069617970272242	0.27060349530069205	0.281681136032672	0.1504860572601363	0.12211863749574924	-0.01665438063995031	0.13262471064782383	0.42768612907350295	0.5695438131563324	0.026786523065902807	0.004615785301443389	0.11287341357282545	0.2649527658436293	0.3696583345247673	0.4581145859420782	0.45869838926465667	0.5004831987367068
sub-01_UA_trial3	0.5627256557177251	0.45895802596404234	0.33253095888051426	0.43924758430758837	0.6355320125189754	0.25433671946668934	0.2177699921575731	0.3091299338042304	0.3720386553015533	0.5729729929059485	0.4703931450746789	0.3002583946008639	0.07386026254988089	0.19858596763366132	-0.02241269311781617	0.5732513847133567	0.8169185361233721
sub-01_UA_trial4	0.24574554435162524	0.08924487482459018	0.0008851489709931216	-0.21810209237997652	-0.2216119293796102	-0.31840389975229644	-0.5655284940978763	-0.08357902050868658	0.12117891966912171	0.16814598690183682	0.042893011762602525	0.3741846680277724	0.3133410136191383	0.41400522687531544	0.5229598989848164	0.4985830007362741	0.16744223258901897
sub-01_UA_trial5	0.7673538998916478	0.7939032558299549	0.838357812482587	0.8056559549365211	0.7587391285824716	0.7110848670154221	-0.06938213239342952	-0.1316222510839063	0.6695088962906391	0.7779441151645802	0.8683774508232894	0.8407466006353717	0.8240973252410859	0.7750301848200266	0.7195503731440862	0.6403497511158908	0.6702413101005179
sub-01_UA_trial6	0.7146743776694823	0.7593616524426624	0.7310366592918908	-0.02048619349565876	-0.14533649084228278	-0.4518778069929678	-0.2194994755464931	0.03709041034082901	0.08965225332740485	0.4581847475619035	0.26113299255450206	0.2351728998723988	0.20308237849020966	0.3848311367374279	0.6555922493612063	0.7145533047927158	0.7964654026873125
sub-02_AA_trial0	-0.1208074702758102	-0.19563337818750348	0.5313453194675788	0.45841989934846666	0.42623058288932747	0.6051676947420699	0.7079834234371456	0.9409510107166272	0.930198503564936	0.9496848219531883	0.8990648676729703	0.7309405739227427	0.46357584453380146	0.45462910165262815	0.3613685484249147	0.4304323001807956	0.192229114138214
