	t0	t1	t2	t3	t4	t5	t6
sub-01_AA_trial0	0.991557840322144	0.16485587231377416	0.8529048966454601	0.9879495630116681	0.9812568205788037	0.9999931214736688	0.8521522379386185
sub-01_AA_trial1	0.9993011914824738	0.9643523530842683	0.9892727849476698	0.9804435578287608	0.8247969822550325	0.8899611041356087	0.9921743721115304
sub-01_AA_trial2	0.9921743721115304	0.9982834715708325	0.8617924454577014	0.7993957147914734	0.949488875080187	0.9999968093519013	0.9994450686049113
sub-01_AA_trial3	-0.8471444745934243	0.7945468865732245	0.482046775717401	0.720922560442398	0.9944551460161438	0.9172435808432756	0.20618834823356277
sub-01_AA_trial4	-0.8067998207595551	0.11404506470904441	-0.48083431247252745	0.9994009441240277	0.9261102410708417	0.9624009066195813	0.9950066531277051
sub-01_AA_trial5	0.8526088846498601	0.6693912456091411	0.9963242334850542	0.7504071086327012	0.9114573039047051	0.999833567035058	0.9999536985103757
sub-01_AA_trial6	-0.7830298628690315	0.995716082322927	0.9987320926872264	-0.7896901350094376	0.7511927165467244	0.9984639066413914	0.9061373676077675
sub-01_AA_trial7	0.6859774881677021	0.9988016353308132	0.7043722239387525	0.7951699703579874	-0.43750255991999776	-0.46794603074495067	-0.13438316667696976
sub-01_AA_trial8	0.5591001262486018	0.7657121718934168	0.764519566447042	0.9162405383639182	0.8617024352185517	0.697578427913532	0.7147662779664203
sub-01_AA_trial9	0.697578427913532	0.7147662779664203	0.9712097733400981	0.9801470002596134	0.9930084857236983	0.9445498111132206	0.9920939991246931
sub-01_UA_trial0	0.9996668659809916	0.36730819195618897	0.6369585744370679	0.9290611575353106	-0.948961894442406	-0.6399526294885954	-0.47627983753878284
sub-01_UA_trial1	-0.9126064099152443	-0.7156699771439237	0.7577496354209562	-0.14674688143713546	0.952097017751274	0.7340271664951619	0.809896348879765
sub-01_UA_trial2	0.809896348879765	0.9582392850422768	0.9262361769601963	0.8144565501942391	0.8198711418723204	0.9449276786692982	0.4487806578583818
sub-01_UA_trial3	0.9946647260928017	0.8074275365705129	0.9898261595657192	0.7823613652748045	0.9833856743692945	0.9964540215806624	0.6699981437392888
sub-01_UA_trial4	0.2692772396898084	0.9956485141861696	0.7296568357471951	0.9770576372725128	0.9437983653402473	0.9732068735151456	0.10082959318226836
sub-01_UA_trial5	0.9806639603760673	0.9655869716351838	0.9966444187096847	0.9943376648076927	0.9102132915735378	0.9528909732141755	-0.045417716606472584
sub-01_UA_trial6	0.9970855609091328	0.9997748449298778	0.6359438454389248	0.9878407766075442	0.7829219692873503	0.9910693254427306	0.9115554418621507
sub-01_UA_trial7	0.9115554418621507	0.9117101616046458	0.8081016635101821	0.9958988236442161	0.9975910717929296	0.5271228639404106	0.05797163614293808
sub-01_UA_trial8	0.9814439392723516	0.9437617696340962	0.9455071359477285	0.9856276113484398	0.9965934112342908	0.995870489298363	0.9824890534082504
sub-01_UA_trial9	0.8999516853452744	0.9913163240265694	0.7151442393382036	-0.610466653634223	0.650030115347329	0.8788317710838814	0.9961549430283795
sub-02_AA_trial0	-0.8616152605945032	0.47075205668559444	0.1565867857857418	0.9644224487069302	0.17592818529128362	-0.39477459119044084	-0.8562074135304077
sub-02_AA_trial1	0.3859540340568198	-0.6274092526270781	0.5233496579124771	0.9552636432456936	0.9941045196551437	0.9783499004520858	0.966612156599627
sub-02_AA_trial2	0.7513725262951161	0.19787686669148385	-0.9642359195683073	0.8602986006730999	0.9517325075384462	0.971591633420602	0.9936901171599662
sub-02_AA_trial3	0.7674173679165355	-0.7322991633643989	0.9922257336906339	0.596665134821285	0.4027625252168802	0.36617100623584026	-0.7258955838365654
sub-02_AA_trial4	0.9991169339657987	0.9455633166350357	0.9637785019693299	0.9155342903884864	0.8562840919787486	-0.10324278873921526	0.399410871966569
