	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16	t17	t18	t19	t20	t21	t22	t23	t24
sub-01_AA_trial0	0.8821212964393114	0.8673953276596486	0.9081746309160929	0.8972720500772525	0.925969287124416	0.9001203567415171	0.889600422204989	0.8948664059988406	0.8908119915951026	0.8939733954509698	0.8756883647611985	0.9201652020089017	0.858435091122193	0.8329170317020433	0.6947785313663875	0.6919419792503237	0.6156740072229616	0.6242094362165993	0.6734697402102645	0.7200598462619036	0.7624254448872319	0.7023052325607474	0.6232547451632419	0.37323610737314467	0.21943903619218008
sub-01_AA_trial1	0.38772161855493203	0.38402276457291773	0.29701174021592563	0.29895186773299426	0.6260974020137015	0.7365445755921776	0.8306686855080672	0.8701915555205066	0.8608238535482536	0.8550132172571621	0.913310138011318	0.8407185376171915	0.8352470128611971	0.8057651361372249	0.8347175246180197	0.7647624111967272	0.7277905213021683	0.688757302633553	0.6249953855859574	0.4649660601603419	0.19323089930241233	0.05539599274545094	-0.024425364811018837	0.3684051343265602	0.43879992240180715
sub-01_UA_trial0	0.7537188985416079	0.7753252617932793	0.6832039819559108	0.6014700212156286	0.5532622022161237	0.5374024649448002	0.6846615118495892	0.7677833495459127	0.7561136641950026	0.741820562283177	0.33374114317287923	0.4592818774212756	0.5555121541810907	0.5316307813954677	0.5065822290628476	0.0705339549459265	-0.012268780006771857	0.18519524085294609	0.17877457313397394	0.29133284405316684	0.34809669285335565	0.5606106766182434	0.6682176489104426	0.5612848632382975	0.6805892429244853
sub-01_UA_trial1	0.7327807093246063	0.8623547241258136	0.9016618589598834	0.8745551327886989	0.8392421043183059	0.7897641696204815	0.6846362528992316	0.7256268809345028	0.6401735926251338	0.717256203417642	0.7833577821093992	0.828490067362626	0.8729736945392604	0.829150554671977	0.8008626849654605	0.7652842933209473	0.7287069247218064	0.5998146321457601	0.4610614327358776	0.36894272405403783	0.42265941366147897	0.3359252100524931	0.4445466049985273	0.4590503118005902	0.6739958922218724
sub-02_AA_trial0	0.05522852762701599	0.011916818207642265	0.4335629394741789	0.41627622390529956	0.5762956828811445	0.4642163290552402	0.4338124662161112	0.42843168827473127	0.19850479845290853	0.3772167053995716	0.5768896317146542	0.7290492857798787	0.7611145684630451	0.810940076756959	0.7818629188014596	0.75968904154124	0.7172152293507692	0.7591302254407725	0.753934682059537	0.7556800654485122	0.7741406188684585	0.7501095331058443	0.7067260753510731	0.6799276977367414	0.5495671515928764
sub-02_AA_trial1	0.19617591879305826	0.34946127867064086	0.6335685724234926	0.5876256891855112	0.6024607058172042	0.6690311446470056	0.6678888794256841	0.6705751070465349	0.681489298582227	0.6086611332662992	0.5329076762102041	0.35509549660028805	0.5989923604349437	0.4744341173335741	0.47789006642687476	0.48005421082832433	0.4720874032711721	0.43273587688220727	0.4455838085210306	0.36186724457811276	0.2803688228354191	0.24870517302536088	0.3299117662445368	0.4924599185959343	0.5450529901989704
sub-02_UA_trial0	0.1459146167459222	0.5261981748153961	0.6289830144130973	0.6804962504892828	0.6409525770242651	0.6440858749731743	0.7435193154159901	0.73920916570628	0.8017459179877311	0.844733307769404	0.8646651466594661	0.8674194118508348	0.81274655142911	0.7562386847075996	0.7150531511883946	0.6102156663342934	0.6196377408569347	0.6501446466709011	0.6620057731747119	0.5446147189759831	0.3806756673792355	0.2617002655730604	0.30635349385619903	0.21823487390094307	0.4818248375638273
sub-02_UA_trial1	0.8756875683699322	0.8778692776214121	0.8776984553265921	0.8538427582926817	0.7714324882380053	0.6588295236135681	0.2523253308458038	0.018964545923001102	-0.06871051190120711	-0.023597075922915232	-0.32939767278918575	-0.2121178188778605	-0.24531071878949562	-0.1910532222335102	-0.19358749557518812	-0.1391623678255076	-0.12792885186590738	-0.07214667091748694	0.4723716928730568	0.37659393629836907	0.36047310689850753	0.11179558500598631	0.25207634592147277	0.32156735460182023	0.5390561677537422
sub-03_AA_trial0	0.8594959936188219	0.8598223404744592	0.8820036165715954	0.8721724745268062	0.8428997925390257	0.8413032067691942	0.867968415238322	0.864259629714548	0.8484593513347478	0.8418044018076295	0.8484313770060008	0.8661114409064878	0.808575045540905	0.714945351399576	0.4769458368542986	0.6014423509370515	0.5377695252794146	0.43136869804069927	0.44414975657924066	0.460319154152796	0.5018243012742538	0.5215933944108376	0.44828999398557146	0.31702586184806075	0.2856835825411362
sub-03_AA_trial1	0.1370536372001837	0.32366009652769373	0.3671417408136423	0.34577138728723755	0.2825034507142578	0.3066383829153052	-0.205149155350728	-0.1888790159826134	-0.11402473129227542	-0.1629035215971859	-0.1956490609669935	0.1294336764088168	0.01761775513261517	-0.02929489435007126	-0.26271626172957496	0.18258817482546444	0.48906201137407546	0.5740517686064377	0.445747893030143	0.4185321569327672	0.39554304497809084	0.31882232369718777	0.34958605870182474	0.392053606836967	0.4004530200495893
sub-03_AA_trial2	0.2679033899879463	0.3301171553938318	0.3445136564578873	0.20255897484936808	0.1865926627800302	0.3883768892727562	0.7290289917180223	0.8600399785239929	0.9463256186396256	0.9508631479234045	0.9598340935598764	0.9458262134497658	0.9113804086480737	0.898451786688406	0.8656712260339441	0.8394117319746959	0.7767488278289725	0.723515546717511	0.6849940174988746	0.6103211546329741	0.5222334084541363	0.5411404113197616	0.11357746210865086	0.4276252583800433	0.489555064213236
sub-03_AA_trial3	0.22158285622013282	0.3968997659069464	0.49986421614835064	0.48760727867464	0.44633576233577704	0.5171284578011941	0.48674865408641116	0.4477784979193879	0.5762634149933752	0.3212781189095437	0.34203705393157563	0.4540986193923789	0.5877335058670556	0.5848125861378142	0.5476709280441832	0.4858039963841706	0.18643991808562482	0.1786100796747028	0.22032577705735643	0.21313241310208927	0.33268153475419676	0.5325807566300688	0.5576178441338676	0.5418331506695546	0.447841288040501
sub-03_UA_trial0	0.32675092373537584	0.53017277075662	0.5871972959705007	0.5324343766287614	0.5484541326178444	0.5084154935099489	0.5403773825882183	0.4714139944036521	0.23804229600118068	0.22696311317671228	0.1944655229180404	0.08132990729010926	-0.12170312985101307	-0.057228099440579064	0.015772291204208012	-0.05909080147646802	0.07386719705351137	-0.19248661555608657	-0.14657324982673467	-0.2878658671843717	-0.24296050311733675	-0.22464995281127473	-0.32390872203467286	-0.2765662471138679	-0.09134761732494485
sub-03_UA_trial1	0.261691627468041	0.3548654356436334	0.06289171009546697	0.10614804305855327	0.32259196687208946	0.5313959245267665	0.42550623470717774	0.3903584098402156	0.36944714711119186	0.6210156625541648	0.34349673352104154	0.39574896417749156	0.35652120952272	0.09104884426052857	0.26917761842493115	0.26790970474341114	0.16091893039373908	0.11275943700555306	0.08255256097545248	0.12303424420134923	0.17102361582162048	0.1976713391196559	0.23073965076425126	0.1577238883963501	0.05608998534954067
sub-03_UA_trial2	0.4585046601264582	0.5079540486831515	0.5910573442779927	0.5930451990845034	0.7181452595231357	0.7668910424901891	0.5712752386656017	0.5586557328376299	0.4933503804899991	0.15040347281044128	0.25218948325781126	0.31355886465123267	0.42858284208194614	0.43218491261672826	0.577919068593668	0.5566126465055379	0.218610731423673	0.05202968666859585	-0.05010351445641221	-0.39768859413388835	0.04874868730850981	0.014787126348542118	0.18225211170420888	0.17737022893480528	0.28209289020841793
sub-03_UA_trial3	0.26682344069815306	0.5644887558884962	0.4861329940136629	0.496195639374114	0.4307315618474537	0.27722846722146594	0.10297399254281674	0.08558605626684984	0.10691943654301861	-0.008527352962215379	-0.04069476270812391	-0.21699239902120596	-0.17105034969794058	-0.2542530718007336	-0.34677590138127967	-0.36440661170715044	-0.31375263464511255	-0.22879825990510366	-0.11292265450960325	-0.2513887872293708	-0.24491326784997655	0.05239915882333562	-0.04938629544554047	-0.07186994850803081	-0.1268407990177182
sub-05_AA_trial0	0.7302190965762548	0.6494214706936764	0.6499221958150887	0.5557834196978855	0.4899337954608103	0.5947732674203529	0.6546056102589818	0.6861416864487463	0.7110523660718924	0.6508094102972428	0.5635676826774105	0.5234908188919984	0.5349807881595506	0.606774701757908	0.6339617922856493	0.6037743878703283	0.7084675154422533	0.7399973276607607	0.6992010620760623	0.6235993784471229	0.5960574567240041	0.4628224459464303	0.47220947963968035	0.4135321298051976	0.5417964970728176
sub-05_UA_trial0	0.7464471692868669	0.6711174732808277	0.6635415589606609	0.7286483363946503	0.8445149511626683	0.9041093633699004	0.8999516957224302	0.9146892075354013	0.9210160854188371	0.9033878906964297	0.8876008085862235	0.7448306080850872	0.6913565547558413	0.5609894160866842	0.5331443793281009	0.23309606976394076	0.2857655881980792	0.5590497005738947	0.7524962975189475	0.8114920758195122	0.8117581878011516	0.8033367654219595	0.8136885439551573	0.7234463339827626	0.7158113995888943
sub-06_AA_trial0	0.7369934868062127	0.8273093869261611	0.797492097587809	0.7934942001901332	0.7480388591140319	0.6713093612906776	0.7318516352935658	0.6540047668632877	0.6815002391560863	0.6205240372039846	0.6312922580453552	0.5766596849963558	0.7576025595086209	0.6722270723127284	0.5619686478030159	0.3146031886132912	0.3025102726443086	0.2927424211743325	0.08318782244741015	0.03366821225371802	0.03565625425048923	-0.06970439159194795	-0.030619780890562102	-0.040714669268723115	-0.30216628021045455
sub-06_AA_trial1	0.8081120130473778	0.6102501280756012	0.43839265313535813	0.43240058154552535	0.4279765030024741	0.4290974880771524	0.41505284707829576	0.3379676146000146	0.27536093086102015	0.27319184549732595	0.27854224799414967	-0.022022473476544586	0.029809426190359766	-0.19671885555168428	0.10349115973473315	0.20598732228694433	0.20915896172459816	0.44054258862546386	0.4152625384189316	0.250986201906214	0.17967783992302977	0.02160145049630941	0.04255658059228477	0.06989966620062507	0.241410512754409
sub-06_AA_trial2	0.5610148017427822	0.5631590018857423	0.37864975718501387	0.16831035331026642	0.15257122465580306	-0.044019272750671	-0.1348320893191951	-0.10885936528477452	-0.026317148717861	-0.11988876877711381	-0.16398573694554297	-0.15582113308939427	-0.03280154311273682	-0.1342035302628315	-0.014663639232100793	-0.08311238145891794	0.02141291604909405	-0.30343798748959055	-0.34530271612268704	-0.013983442388168397	0.01212052783725322	0.07624622411844796	0.09671938523321635	0.01918648204959779	0.1277561067984992
sub-06_AA_trial3	0.43132528337881354	0.3422524289746368	0.36514100997781607	0.40615938234594884	0.4177655193164497	0.43183168339473715	0.46638472656041335	0.48235715343981056	0.4727644765034854	0.4878809978749048	0.4638513224829372	0.5007792862916237	0.12442643858425884	0.3209406036292556	0.3902179248072049	0.41777329016293113	0.46396841202267236	0.5134964177662563	0.39819873435332115	0.4018867500060432	0.30004037322433735	0.27057756354704326	0.159027579089796	0.19895264558308806	0.2589814579138833
sub-06_AA_trial4	0.36040390294290225	0.5238913462774017	0.4709240633535339	0.5650058763697516	0.4950867040385921	0.41982815100100435	0.23695829930979506	0.1797769938275	0.17859568293286013	0.31475211365111616	0.3059285850959112	0.4923709415921802	0.5474553709697954	0.6037396974192738	0.6816664253196992	0.7066142012115003	0.6595545718238338	0.6942283155369859	0.7147937014219744	0.48647479160760476	0.1919077006758237	-0.019626072264059886	-0.007125762913359398	0.0906651113170596	0.0014235022099956364
sub-06_UA_trial0	0.04301959500103645	0.34344998169446594	0.06299673768784345	0.06411008985187923	0.05985421326030958	-0.08363711930784783	-0.03264796603428705	0.08707999687907544	0.0019655758309454715	-0.14897373219317295	0.03748463369349642	-0.011648081658684117	-0.1988144219656055	-0.2485430221171948	0.054781773124149835	0.18378251317227548	0.11620792949046252	0.3254617198738868	0.3556793744720555	0.3912762641859386	0.3815979512240847	0.3654454244512562	0.14583747905239625	0.36899946580135934	0.3200374810486043
sub-06_UA_trial1	0.44850009485610953	0.5679221671496427	0.6003940732547629	0.6351583023318084	0.6454485397111288	0.6244986670706857	0.6270358473617308	0.5847015391583646	0.3097821959639519	0.19658239486900606	0.31489966167771605	0.592833307455357	0.6430006796975323	0.6925725711663991	0.6208466305776668	0.5799496680613059	0.5729830928172898	0.6256990358806971	0.6126335662804243	0.44570821925297976	0.4109698687760379	0.36226530576793686	0.38948986024326193	0.4405165153727391	0.42370543321250065
sub-06_UA_trial2	0.6012379329825293	0.6436246741702548	0.6602294048753847	0.7408324645111849	0.5904464959509963	0.5980629409195005	0.6675544170174712	0.554749737798345	0.2656904285067801	0.4413647070069039	0.5899449266879768	0.6216357965264473	0.4641214779420743	0.4798664652431727	0.4851829290248136	0.4574874440539043	0.5252519509119151	0.4845392340068443	0.5145663794346839	0.5891961128095694	0.5483387813328109	0.44446820986756713	0.1646869789131818	-0.05432057799285498	-0.10744505574472393
sub-06_UA_trial3	0.32624724191762355	0.4671455543517411	0.42832910944615055	0.4125662807603495	0.3714790931874552	0.48930975005201655	0.644527341341433	0.6543488147126642	0.592666460064473	0.5399448272463658	0.5440495518215366	0.6464411169508919	0.9124761143677849	0.8939685466294219	0.9401752028117637	0.9407199208091491	0.9413374638762104	0.9237335933980576	0.8476111783769272	0.8148402748761598	0.7662633518562805	0.6776291892595712	0.5293740769420132	0.5502672715960434	0.463986198944387
sub-06_UA_trial4	0.009508703895774843	0.3370710633378578	0.35711772342681786	0.3673818557642922	0.36695851243079675	0.2963156039250113	0.3222379394232514	0.38403759662497916	0.39925702103042227	0.37863052968857885	0.47182901934494964	0.6170034250181176	0.7328091167989901	0.7020818203791696	0.6978725302033204	0.6588723059868766	0.5690441546220537	0.6304885893094213	0.6687976844441339	0.6941494741961208	0.5992096515047061	0.6126086208531614	0.7422654884058459	0.6501698143567858	0.4280492651187273
sub-07_AA_trial0	0.32742564348551834	0.43577873115254084	0.4530161492062743	0.4529253523896428	0.3738113640944961	0.23399313179635792	0.22449499763471112	0.3348068740044558	0.3976003001945657	0.39924109912348754	0.36298563735793893	0.3814156113459217	0.4172012097098554	0.3279547902175358	0.24364712760278173	0.2741849487424037	0.27178757703010287	0.49194511511632827	0.29580016669488207	0.4718552869867255	0.5249837549113429	0.27906361590930573	0.3140054587740373	0.268392060681805	0.4307080768296201
sub-07_UA_trial0	0.3087184884821484	0.7612062553565879	0.6688529075889914	0.6764451316982746	0.6602198654685988	0.6789433086868422	0.6588557917279129	0.5352500924863856	0.651008993581938	0.32578260317858027	0.15571399440701528	0.4467418721147862	0.37242168036515183	0.2723217040438691	0.4912776173141971	0.4860774536368177	0.5143563796887024	0.48518790639242393	0.4375155598326921	0.49632753751545783	0.3463041427865635	0.38610923568557115	0.4913883498375447	0.327529811093391	0.3316935332365827
sub-10_AA_trial0	0.37569067974109005	0.3803445433519618	0.41572933558823766	0.47089753534648365	0.3840877145065124	0.4033103562862929	0.41335331556617777	0.43972097971805685	0.4687959737437416	0.6196989654961201	0.37061960159347374	0.3783444873821198	-0.1435526506867522	-0.1688062484244987	0.11821571626216962	0.07475071211343731	0.28799951836919785	0.3536761131216793	0.3170297206851115	0.3629208182920186	0.4623967807569279	0.3151307035062242	0.3770590384915656	0.3256903579610965	0.3970625236961298
sub-10_AA_trial1	0.7767380207324842	0.772924656411286	0.7353656366625042	0.6794296038299523	0.47642313210386	0.528964861772012	0.2476496833540444	0.33202114455167187	0.28205842821050825	0.38877994833540563	0.20858822123292137	0.273491250247159	0.4422241132282209	0.38301609906828815	0.4309795911533202	0.7567597530579622	0.730229440721038	0.6254111945012513	0.6869701345650765	0.7382154618062579	0.6865754622531253	0.675610987419034	0.7336122694979778	0.8017504119026326	0.7964937596010103
sub-10_UA_trial0	0.5454760232127736	0.5604413031570563	0.648884329303162	0.6733510732523253	0.6583852310053137	0.6737501991638458	0.7332668491690277	0.8415965835547206	0.8287825060673965	0.8340883970643591	0.8486423321140659	0.8224172065702596	0.8005372852592102	0.7755066422041302	0.6883873183074928	0.651759515598028	0.49983738195043165	0.4970148235703843	0.41169565476085607	0.3285030176381076	0.5285467630421109	0.5138287065360052	0.6587019410669015	0.850093736054997	0.8080681405552118
sub-10_UA_trial1	0.7093448405863962	0.6189818622377977	0.6161706540693177	0.6455316329182685	0.5980527175722579	0.5372149788267729	0.3162552811278097	0.5940044759230023	0.607460876947344	0.6773544885643968	0.7842197240674338	0.8183120422425328	0.8442725675264341	0.7380961161015244	0.7663784149993296	0.845244627401111	0.8557524319642261	0.8652440123634905	0.8621218059014943	0.9181619268097646	0.91794114260084	0.9251079009838444	0.9493105809536974	0.9302340484562832	0.8534719879875313
sub-12_AA_trial0	0.8696904163119308	0.8133993261565259	0.7960076590364112	0.7073625807872683	0.6980147930883258	0.7514241313467461	0.8524561522956244	0.8736397630843382	0.7727076326662787	0.7684580900703052	0.7668683430713158	0.6896103416345158	0.39424096910723133	-0.09588869735167109	-0.19250926541183103	-0.13280797181412116	-0.19885027885384482	-0.14208553773371776	-0.22096662500290673	-0.26356359068973	0.05197572333624352	-0.010043106234294066	0.03919911077385516	-0.08708649287726553	0.34602922737592534
sub-12_AA_trial1	0.4073939252734291	0.3651259189421649	0.3000597946331308	0.44720925243855514	0.4482450257353403	0.4609609179533599	0.2787825773976932	0.2618430892776328	-0.13783939391584535	-0.20121492853331086	-0.19705046016428976	-0.12151885832519374	-0.05655708957186534	-0.03571632371023474	-0.06342318751521318	-0.16206603256794352	-0.22050313563589938	0.013412718171168956	0.1276946492361726	0.2988246935313922	0.48523012625772993	0.5242707640650082	0.608960452023912	0.7624846025399381	0.8154903110775922
sub-12_AA_trial2	0.761546045807057	0.6762344664877475	0.7197835241789964	0.8759685126541011	0.8699222058677255	0.880753427128974	0.87344310110343	0.6701999905075327	0.4323943843348008	0.41437059679705734	0.5112935056301889	0.474606998748185	0.4810959097358322	0.6185375386221944	0.5346697826975749	0.5034898572098451	0.5498516001514262	0.5173612301484879	0.4132263907801386	0.43779858955324435	0.41986461912152956	0.448193348292552	0.4135161033626743	0.281357161299561	0.3851339015650352
sub-12_AA_trial3	0.6531028278889826	0.583316850768897	0.40114069183602313	0.1100928314760806	0.6581983038966654	0.7965962594787123	0.5880039168870047	0.6746291287900775	0.6503885710924254	0.6105878599610203	0.720661360131366	0.6558838141351764	0.6156944427664617	0.49273734747937215	0.30996363300047824	0.14960104638209762	0.183609164339618	0.20149187158729115	0.27208572254160457	0.2769643857323743	0.4102453661053005	0.51582967209433	0.393694258269	0.5113020421282378	0.4563208317374284
sub-12_AA_trial4	0.6712828246382759	0.6096686858777607	0.6019907790526873	0.5555304399528248	0.4591337444315888	-0.05180932063907399	-0.11969248344411768	-0.2962712845565615	0.006496098857595367	0.047125381881504246	0.2378219721560918	0.5430529251055725	0.5916024735626401	0.6872216105562104	0.73107116544087	0.9444558185106104	0.9249015598559593	0.9122691682607821	0.8819871741810985	0.4871438869205231	0.5588202282356689	0.4678635159117509	0.49012023562790513	0.4406349526396287	0.3386981130144828
sub-12_UA_trial0	0.9365964067915026	0.925132035045576	0.9073955493841024	0.9284836247990288	0.9622398701335889	0.9401881010769921	0.939160914417696	0.8962426342470068	0.895430612272588	0.8927462444554867	0.9269165182906912	0.8784701643864751	0.8298047149452671	0.8305963438180027	0.8613251647170233	0.8555721104508821	0.641982137568808	0.5420343492660853	0.5836606844482674	0.631671963248562	0.6999911837704257	0.6604741134795152	0.5239955450556478	0.4892958235869072	0.5569860498995876
sub-12_UA_trial1	0.484253602526283	0.3192864072587566	0.12597474289342894	0.3087788959774587	0.4990601707335343	0.4112144851779068	0.4634303929644719	0.3643274114158474	0.461889549042951	0.39418228824786544	0.42111445860217617	0.5272013317833159	0.7643373480676378	0.798573193410496	0.822202999937803	0.758150553219141	0.7935521366223066	0.8038173367872897	0.8030060945138198	0.8455325157424822	0.8688552858548536	0.8721344210754848	0.8860164090527979	0.9084726207906263	0.8951369668086228
sub-12_UA_trial2	0.6992305845763449	0.679640768657922	0.6842216818134573	0.6550779876354277	0.5001015754923674	0.5064713811951709	0.51721277429443	0.5555329721369824	0.6530619625800762	0.5535979668748668	0.33650002448035565	0.2994739900177435	0.2323412967694626	0.21692534522443227	0.1338459827872834	0.2243606895624073	0.3920900482548231	0.32085427824625024	0.43592157305488416	0.32120329714774204	0.2966649806060506	0.24368599955220654	0.2537125346235444	0.21877176128735457	0.17637721626936836
sub-12_UA_trial3	0.7262549208226773	0.7851362576950434	0.7951488612135796	0.786535182721009	0.792244584752094	0.7922249664195037	0.79655115214531	0.800274006265186	0.7955498631197048	0.7995745009176045	0.7900906182136738	0.8456243090559403	0.8554331458647291	0.8280754084552218	0.8337839683001422	0.8566022983570503	0.7689713958235482	0.760378654318763	0.7557767294886555	0.7317600571034159	0.7015528346075259	0.7725913717163055	0.9207291034884482	0.9408749590238417	0.9542273890989525
sub-12_UA_trial4	0.8338850702246031	0.854558292514612	0.8902300361149912	0.8881791328417737	0.8944796139444509	0.8722272336495546	0.7986248931954582	0.6447255727628963	0.48918991263403366	0.47584662998529054	0.5356479068032105	0.7807786457738962	0.7621122938283809	0.7067920109942644	0.7505655266316261	0.6849107096547064	0.6340293668790202	0.4851301159809166	0.7393051894399542	0.7309606858241079	0.6046661514877903	0.5342542858178941	0.4748043450097836	0.4975419195649622	0.36057174459493435
