	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12
sub-01_AA_trial0	0.5393592970450769	0.9037542850006336	0.9042201103089174	0.9121321183928862	0.8889432588559733	0.8862659648421137	0.6392458412692283	0.6965534449422635	0.7746420009970004	0.6437126932898037	0.6939154868270212	0.49805495912495346	-0.02793972303775344
sub-01_AA_trial1	0.826946703104967	0.5714198263066214	0.6686053445379524	0.7663509378142138	0.5878801653735264	0.4864772784280359	0.9160472061136888	0.39728181400723417	-0.06206544903333334	-0.031939196919739524	0.3446477422407334	0.27503556581318	0.18043679580809455
sub-01_AA_trial2	0.27503556581318	0.18043679580809455	0.11094741901623355	0.7017105465148268	0.8185139566242527	0.71789455890951	0.7629342173324004	0.04035679336078465	-0.2755618084228033	-0.13121187524805406	0.36354686940724823	0.7489385840833233	0.6683528944729201
sub-01_AA_trial3	0.9383207197709507	0.9644890250506303	0.9656847552727594	0.9735873842955428	0.965796551902109	0.9463064065276693	0.9887969593404011	0.9917285623437335	0.9565362943284791	0.931580380273843	0.8609542868503385	0.5855733455325033	0.6966589886563342
sub-01_AA_trial4	0.9809419195622872	0.8860452136888719	0.9145696634507582	0.6688116992043017	0.7667017862471505	0.8509464664849661	0.8937884848405871	0.8235540511753516	0.7081664359125833	0.8961755813986374	0.7782474354772102	0.4059850985570111	0.40882243947227503
sub-01_AA_trial5	0.9046617973920839	0.8312908286843261	0.8136533414243744	0.822382326921115	0.8105769232926721	0.7918087314256643	0.8011276507399024	0.786719364935537	0.8243832216066093	0.7879781637238159	0.8085293836611671	0.7554282524576527	0.8330359084114201
sub-01_AA_trial6	0.017091038507818044	0.057133097299059285	0.6900514122379597	0.6953096839017655	0.7419377497900611	0.9041106243914475	0.8941616008277253	0.9381589580732832	0.9418146764333559	0.924930950676407	0.8561980485097319	0.6307810495712304	0.41836169135564716
sub-01_AA_trial7	0.1125843353396457	0.7642825981175707	0.7576694768427558	0.4383492717553251	0.7537125749590093	0.9796358738156605	0.9212178277190235	0.9023334669916059	0.7662995175276801	0.7756785334878921	0.7755507019868323	0.6174700693413163	0.7408442410014011
sub-01_UA_trial0	0.9206509933629277	0.9623665116489043	0.903906097509995	0.8670703232298053	0.8894829698375003	0.941150650033854	0.9427306489459129	0.9138913734476857	0.8832015314598145	0.6299553141778051	0.24374817681046282	0.11834161803335656	0.15415188779518885
sub-01_UA_trial1	0.6529974138686484	0.2292597256660462	0.5927521021157146	0.6085232844035149	0.8462315539593327	0.9131975983840658	0.9567616831823627	0.8864953204015124	0.7778212656248661	0.5996618496023896	0.6116149399818062	0.5480422838582509	-0.13491807113121565
sub-01_UA_trial2	0.5480422838582509	-0.13491807113121565	0.42692664728780305	0.5562551742633771	0.5334026547877495	-0.07843948919632887	0.5023260239393564	0.7475938856333367	0.6439836693080375	0.4845435931608897	0.4061614414838552	0.5611279354963467	0.53303598707318
