onset	duration	trial_type
0	15	discard
15	30	static
45	2.5	coherent
45	120	motion
47.5	7.5	incoherent
55	2.5	coherent
57.5	2.5	incoherent
60	2.5	coherent
62.5	7.5	incoherent
70	2.5	coherent
72.5	5	incoherent
77.5	7.5	coherent
85	2.5	incoherent
87.5	10	coherent
97.5	2.5	incoherent
100	2.5	coherent
102.5	5	incoherent
107.5	30	coherent
137.5	5	incoherent
142.5	22.5	coherent
165	15	mae
180	30	static
210	5	incoherent
210	120	motion
215	10	coherent
225	12.5	incoherent
237.5	22.5	coherent
260	2.5	incoherent
262.5	27.5	coherent
290	7.5	incoherent
297.5	17.5	coherent
315	15	incoherent
330	15	mae
345	30	static
375	15	discard
