onset	duration	trial_type
0	15	discard
15	30	static
45	2.5	coherent
45	120	motion
47.5	10	incoherent
57.5	5	coherent
62.5	7.5	incoherent
70	2.5	coherent
72.5	5	incoherent
77.5	7.5	coherent
85	2.5	incoherent
87.5	5	coherent
92.5	2.5	incoherent
95	5	coherent
100	2.5	incoherent
102.5	2.5	coherent
105	2.5	incoherent
107.5	7.5	coherent
115	2.5	incoherent
117.5	5	coherent
122.5	2.5	incoherent
125	2.5	coherent
127.5	15	incoherent
142.5	22.5	coherent
165	15	mae
180	30	static
210	2.5	incoherent
210	120	motion
212.5	12.5	coherent
225	5	incoherent
230	2.5	coherent
232.5	5	incoherent
237.5	12.5	coherent
250	15	incoherent
265	5	coherent
270	15	incoherent
285	5	coherent
290	7.5	incoherent
297.5	20	coherent
317.5	12.5	incoherent
330	15	mae
345	30	static
375	15	discard
