onset	duration	trial_type
0	15	discard
15	31	static
45	120	motion
46	10	coherent
56	4	incoherent
60	9	coherent
69	3	incoherent
72	7	coherent
79	2	incoherent
81	9	coherent
90	1	incoherent
91	7	coherent
98	2	incoherent
100	28	coherent
128	1	incoherent
129	3	coherent
132	3	incoherent
135	1	coherent
136	2	incoherent
138	4	coherent
142	6	incoherent
148	2	coherent
150	5	incoherent
155	4	coherent
159	4	incoherent
163	2	coherent
165	15	mae
180	30	static
210	2	incoherent
210	120	motion
212	15	coherent
227	7	incoherent
234	4	coherent
238	5	incoherent
243	4	coherent
247	7	incoherent
254	13	coherent
267	9	incoherent
276	4	coherent
280	1	incoherent
281	27	coherent
308	6	incoherent
314	16	coherent
330	15	mae
345	30	static
375	15	discard
