onset	duration	trial_type
0	15	discard
15	30.75	static
45	120	motion
45.75	12	coherent
57.75	3.75	incoherent
61.5	17.25	coherent
78.75	3	incoherent
81.75	5.25	coherent
87	5.25	incoherent
92.25	6.75	coherent
99	6.75	incoherent
105.75	9	coherent
114.75	5.25	incoherent
120	5.25	coherent
125.25	2.25	incoherent
127.5	6	coherent
133.5	4.5	incoherent
138	6	coherent
144	3.75	incoherent
147.75	2.25	coherent
150	10.5	incoherent
160.5	4.5	coherent
165	15	mae
180	30	static
210	33.75	coherent
210	120	motion
243.75	8.25	incoherent
252	4.5	coherent
256.5	3	incoherent
259.5	21.75	coherent
281.25	8.25	incoherent
289.5	7.5	coherent
297	6.75	incoherent
303.75	26.25	coherent
330	15	mae
345	30	static
375	15	discard
