bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-01_task-AA_acq-0500_run-1_bold	0.0003801794871794872	0.012248784243589743	0	38.51372460993585	1.1842302317586662	1.000107027907574	0.5593382278488218	2739.04150390625	0.13595301831163215	162	20.76923076923077	1.8068322722085777	1.7313513187977203	2.04249216449468	1.6466533333333333	0.0159635	-0.013415697030723095	0.0665527731180191	780	76	76	42	5.999303664405485	0.5	2.526315689086914	2.526315689086914	3.0	19.032240699708343	133.58753076881345	498.92327880859375	173.77786254882812	139164.0	63.39774856567383	2139.789819335939	851.4248657226562	1.6498771199008129	1475.1153668728944	9509.3837890625	9454.779296875	55810.0	7194.165795898438	12113.792724609375	1575.96533203125	44.32447814941406
sub-01_task-AA_acq-0750_run-1_bold	0.0030947884615384618	0.018335328942307695	0	31.113939762986515	1.1579017141811168	1.0054711019653186	0.5731852645015741	1964.5042724609375	0.17360551015279546	175	33.65384615384615	1.7953337996844636	1.709861526277126	2.0411898727762647	1.63495	0.0168334	-0.014996987767517567	0.06771422177553177	520	76	76	40	6.21685324126563	0.75	2.526315689086914	2.526315689086914	3.0	18.27956465625321	191.08347077297134	647.8623657226562	249.55625915527344	129363.0	85.66102447509766	2647.7502441406245	1054.7099609375	1.629401303845917	1719.6998494607194	11489.869140625	11414.0478515625	55209.0	8800.7587890625	14522.333984375	1835.9681396484375	41.41301727294922
sub-01_task-AA_acq-1000_run-1_bold	0.002101102564102564	0.010107917128205128	0	26.585326530282792	1.147314741028277	1.02445602311054	0.5620322390203588	2195.935791015625	0.18312948159553596	167	42.82051282051282	1.8119679667095419	1.7344823605888033	2.0436282062064888	1.6577933333333332	0.0135589	-0.013568392023444176	0.06798979640007019	390	76	76	42	5.835618180871345	1.0	2.526315689086914	2.526315689086914	3.0	19.809539044926765	200.99570928459332	694.0861206054688	259.71484375	139038.0	91.21882972717285	2857.912133789061	1150.8370361328125	1.8884040075830288	1989.6072937689185	12697.009765625	12607.36328125	55857.0	9533.9013671875	16235.1220703125	2160.396728515625	53.205177307128906
sub-01_task-AA_acq-2500_run-1_bold	0.0005783974358974359	0.003224245576923077	0	32.59499002303225	1.1979281145806455	0.9893863390967746	0.5773870912795999	235.13047790527344	0.05589925058465492	0	0.0	2.8047562556606587	2.7100057326859526	2.9602397009626906	2.7440233333333333	0.0247288	-0.00581318000331521	0.06867524236440659	156	76	76	42	2.230638935611911	2.5	2.526315689086914	2.526315689086914	3.0	25.679080037004567	156.6349697825827	1436.55419921875	859.4754638671875	137890.0	723.9923858642578	4597.813647460928	1708.3419189453125	2.87152090574303	5049.588235881076	14477.2431640625	13280.97265625	55918.0	7387.377246093751	25994.709277343733	5953.833984375	53.57671356201172
sub-01_task-UA_acq-0500_run-1_bold	0.0005736340206185567	0.012481334690721648	4	38.4447254943484	1.1856407345419369	1.0039757919741936	0.5594649150144215	2759.964599609375	0.14258364076797117	192	24.742268041237114	1.8041356749441493	1.7353096522883436	2.0353473725441047	1.64175	0.0132328	-0.012693427503108978	0.06700067222118378	776	76	76	42	6.031613189919188	0.5	2.526315689086914	2.526315689086914	3.0	18.359758641202667	134.54067097679194	502.4529113769531	173.82235717773438	139370.0	61.38739528656006	2146.4032104492176	856.9467163085938	1.5791206725907694	1462.8267083479273	9500.787109375	9440.9892578125	55694.0	7207.7784423828125	12120.166552734374	1565.237060546875	43.77783203125
sub-01_task-UA_acq-0750_run-1_bold	0.0011157528957528957	0.010334246814671814	2	30.49194093526111	1.1893677754352039	1.0195477282398449	0.5724873548939895	2013.7396240234375	0.1547648247010568	164	31.66023166023166	1.793499563600249	1.7161711098611796	2.036910914272901	1.6274166666666667	0.0122441	-0.01538169290870428	0.06800398230552673	518	76	76	40	6.102729393629788	0.75	2.526315689086914	2.526315689086914	3.0	18.659372561912654	182.62811810912916	639.9107666015625	245.161376953125	129401.0	91.1073226928711	2605.052490234375	1045.1793212890625	1.7332626968913782	1738.9620954714603	11452.49609375	11389.1220703125	55293.0	8736.403125	14537.389453124997	1866.21728515625	51.74446105957031
sub-01_task-UA_acq-1000_run-1_bold	0.0007400256410256409	0.008727635076923076	0	26.960905330179898	1.154451928868895	1.010869761028277	0.5628408941121075	2139.431396484375	0.17606097121206962	161	41.282051282051285	1.8018787302935502	1.7255246518995224	2.0295682056477946	1.6505433333333333	0.0202742	-0.01294165849685669	0.06840039789676666	390	76	76	42	5.822985364382914	1.0	2.526315689086914	2.526315689086914	3.0	18.98672608068784	203.5160776304023	702.2413940429688	261.9400329589844	138989.0	91.63208770751953	2878.919335937502	1164.0882568359375	1.84087854593127	1987.1510099176542	12673.7724609375	12578.46484375	55780.0	9508.99345703125	16208.990185546874	2160.120849609375	56.25086975097656
sub-01_task-UA_acq-2500_run-1_bold	0.0010408333333333333	0.004205726987179487	0	32.45962544122582	1.1739126743225805	0.9879637174193546	0.5779055931848787	232.44412231445312	0.067687886369955	6	3.8461538461538463	2.8168460477970463	2.730106150151338	2.9756019932398	2.74483	0.0126603	-0.0033891063649207354	0.06814444065093994	156	76	76	42	2.2323417977254945	2.5	2.526315689086914	2.526315689086914	3.0	26.564808073633635	168.19834408017414	1428.568603515625	859.4105834960938	137521.0	708.6614379882812	4542.27099609375	1702.28857421875	2.86648378491381	5038.943615265399	14435.1708984375	13240.0166015625	55917.0	7366.9439453125	25924.540624999998	5930.94580078125	49.81855392456055
sub-01_task-loc_acq-1000_run-1_bold	0.0008819075144508671	0.007639314450867052	1	26.529275761220926	1.1340717749999998	1.002164348604651	0.5606826149400032	2273.685546875	0.1936659014061872	89	51.445086705202314	1.7920130356516542	1.7160523598564608	2.0241334137651688	1.6358533333333334	0.0153061	-0.012781554833054543	0.06735943257808685	173	76	76	42	5.906030579120025	1.0	2.526315689086914	2.526315689086914	3.0	20.26091199261228	204.7675548860575	690.4440307617188	259.34454345703125	139043.0	86.01089935302734	2839.6814941406205	1168.2574462890625	1.960691396142324	1990.3123985349462	12891.8828125	12797.2138671875	55895.0	9706.972265625	16421.583789062497	2166.78515625	60.34357452392578
sub-02_task-AA_acq-0500_run-1_bold	0.00036634491634491634	0.018010993564993565	3	43.189238351546386	1.2956912842139168	0.9901219809149487	0.5858784094901434	2502.4541015625	0.13360820536807846	179	23.037323037323038	1.7900778962016595	1.7167292348833574	1.9810944537216209	1.67241	0.00880849	-0.01060840580612421	0.06011539325118065	777	76	76	42	6.6355197518119695	0.5	2.526315689086914	2.526315689086914	3.0	17.35645195299318	155.83283619399697	521.5862426757812	184.06674194335938	130711.0	62.83303260803223	2151.6134033203125	867.3505859375	1.4937445629562927	1357.0979137138822	9665.3017578125	9662.4072265625	63279.0	7405.256494140625	12069.845996093749	1456.15283203125	42.3087043762207
