-46	-70	14	46	-76	 6	-10	-98	 0	18	-96	 2
-50	-70	14	52	-68	 8	-14	-98	 4	14	-96	-8
-44	-62	 0	48	-64	 0	-4	-94	-6	16	-82	-4
-46	-70	 8	48	-64	 6	-6	-92	-4	18	-92	-8
-46	-66	12	48	-68	 6	-12	-96	 2	16	-96	 0
-46	-72	 4	54	-66	 4	-10	-88	-8	20	-88	-4
-42	-78	12	46	-72	 4	-8	-96	-4	14	-86	-4
-46	-72	 0	52	-66	 6	-8	-90	-6	16	-98	 0
-44	-76	-4	50	-68	-8	-18	-90	-8	16	-84	-8
-42	-72	 2	48	-72	 2	-10	-98	-10	16	-98	 0
-40	-80	-2	50	-70	-4	-6	-100	 6	16	-94	 2
-40	-66	 6	44	-62	 6	-12	-100	 4	16	-92	 2
-50	-66	 4	52	-64	 8	-14	-84	-10	12	-82	-6
-44	-74	 8	50	-66	 8	-12	-84	-10	14	-84	-6
-50	-66	14	48	-62	 4	-10	-90	 0	18	-94	 2
