onset	duration	trial_type
0	15	discard
15	31	static
45	120	motion
46	10	coherent
56	21	incoherent
77	11	coherent
88	4	incoherent
92	1	coherent
93	6	incoherent
99	13	coherent
112	8	incoherent
120	2	coherent
122	3	incoherent
125	13	coherent
138	10	incoherent
148	3	coherent
151	5	incoherent
156	9	coherent
165	15	mae
180	30	static
210	12	coherent
210	120	motion
222	3	incoherent
225	2	coherent
227	6	incoherent
233	15	coherent
248	3	incoherent
251	9	coherent
260	7	incoherent
267	4	coherent
271	5	incoherent
276	8	coherent
284	3	incoherent
287	8	coherent
295	4	incoherent
299	9	coherent
308	11	incoherent
319	8	coherent
327	3	incoherent
330	15	mae
345	30	static
375	15	discard
