onset	duration	trial_type
0	15	discard
15	30	static
45	10	coherent
45	120	motion
55	7.5	incoherent
62.5	7.5	coherent
70	7.5	incoherent
77.5	7.5	coherent
85	5	incoherent
90	5	coherent
95	5	incoherent
100	7.5	coherent
107.5	7.5	incoherent
115	2.5	coherent
117.5	2.5	incoherent
120	7.5	coherent
127.5	5	incoherent
132.5	5	coherent
137.5	7.5	incoherent
145	2.5	coherent
147.5	7.5	incoherent
155	10	coherent
165	15	mae
180	30	static
210	15	coherent
210	120	motion
225	17.5	incoherent
242.5	7.5	coherent
250	5	incoherent
255	5	coherent
260	17.5	incoherent
277.5	10	coherent
287.5	5	incoherent
292.5	5	coherent
297.5	2.5	incoherent
300	2.5	coherent
302.5	10	incoherent
312.5	2.5	coherent
315	12.5	incoherent
327.5	2.5	coherent
330	15	mae
345	30	static
375	15	discard
