onset	duration	trial_type
0	15	discard
15	31	static
45	120	motion
46	8	coherent
54	3	incoherent
57	3	coherent
60	6	incoherent
66	3	coherent
69	2	incoherent
71	5	coherent
76	3	incoherent
79	1	coherent
80	5	incoherent
85	1	coherent
86	3	incoherent
89	2	coherent
91	3	incoherent
94	5	coherent
99	10	incoherent
109	4	coherent
113	8	incoherent
121	2	coherent
123	3	incoherent
126	5	coherent
131	3	incoherent
134	3	coherent
137	4	incoherent
141	1	coherent
142	3	incoherent
145	6	coherent
151	11	incoherent
162	3	coherent
165	15	mae
180	30	static
210	1	coherent
210	120	motion
211	2	incoherent
213	7	coherent
220	6	incoherent
226	5	coherent
231	9	incoherent
240	2	coherent
242	8	incoherent
250	6	coherent
256	3	incoherent
259	5	coherent
264	10	incoherent
274	4	coherent
278	7	incoherent
285	4	coherent
289	8	incoherent
297	6	coherent
303	6	incoherent
309	6	coherent
315	6	incoherent
321	2	coherent
323	4	incoherent
327	3	coherent
330	15	mae
345	30	static
375	15	discard
